plot,farm,region,island,commune,surface_ha,code_cult_2016,code_cult_2017,groupe_brut,groupe_resolu,culture_representante,cultive
P1,E1,3,2,97102,3.68,6,6,CS,CS,CS_NGT_NISM,True
P2,E1,3,2,97102,3.3,6,6,CS,CS,CS_NGT_NISM,True
P3,E1,3,2,97102,1.36,10,6,CS,CS,CS_NGT_NISM,True
P4,E2,2,2,97117,1.24,11,11,MA,MA,MA_ROTA,True
P5,E3,2,2,97128,0.77,6,6,CS,CS,CS_NGT_NISM,True
P6,E3,2,2,97128,0.21,11,11,MA,MA,MA_ROTA,True
P7,E3,2,2,97128,0.57,17,17,PN,PN,PN_PIQ,True
P8,E3,2,2,97128,1.52,17,17,PN,PN,PN_PIQ,True
P9,E3,2,2,97128,0.73,14,14,NC,NC,,False
P10,E4,2,2,97128,0.86,17,17,PN,PN,PN_PIQ,True
P11,E4,2,2,97128,0.6,16,16,PN,PN,PN_PIQ,True
P12,E5,3,2,97102,0.6,16,16,PN,PN,PN_PIQ,True
P13,E5,3,2,97102,1.38,14,14,NC,NC,,False
P14,E5,3,2,97102,1.46,16,16,PN,PN,PN_PIQ,True
P15,E5,3,2,97102,0.63,14,14,NC,NC,,False
P16,E5,3,2,97102,1.46,6,6,CS,CS,CS_NGT_NISM,True
P17,E5,3,2,97102,2.12,10,6,CS,CS,CS_NGT_NISM,True
P18,E5,3,2,97102,0.45,16,16,PN,PN,PN_PIQ,True
P19,E6,1,2,97116,0.76,16,16,PN,PN,PN_PIQ,True
P20,E6,1,2,97116,0.48,6,6,CS,CS,CS_NGT_NISM,True
P21,E6,1,2,97116,0.51,14,14,NC,NC,,False
P22,E6,1,2,97116,0.43,6,6,CS,CS,CS_NGT_NISM,True
P23,E6,1,2,97116,3.59,6,6,CS,CS,CS_NGT_NISM,True
P24,E6,1,2,97116,2.15,16,16,PN,PN,PN_PIQ,True
P25,E6,1,2,97116,0.84,6,6,CS,CS,CS_NGT_NISM,True
P26,E6,1,2,97116,0.9,6,6,CS,CS,CS_NGT_NISM,True
P27,E7,3,2,97119,1.96,6,6,CS,CS,CS_NGT_NISM,True
P28,E7,3,2,97119,1.3,14,14,NC,NC,,False
P29,E7,3,2,97119,0.44,16,16,PN,PN,PN_PIQ,True
P30,E7,3,2,97119,0.64,10,10,JA,NC,,False
P31,E7,3,2,97119,0.85,6,6,CS,CS,CS_NGT_NISM,True
P32,E7,3,2,97119,0.49,6,6,CS,CS,CS_NGT_NISM,True
P33,E7,3,2,97119,0.67,16,16,PN,PN,PN_PIQ,True
P34,E7,3,2,97119,0.52,6,6,CS,CS,CS_NGT_NISM,True
P35,E7,3,2,97119,2.52,14,14,NC,NC,,False
P36,E7,3,2,97119,6.35,14,14,NC,NC,,False
P37,E7,3,2,97119,0.24,16,16,PN,PN,PN_PIQ,True
P38,E7,3,2,97119,1.17,14,14,NC,NC,,False
P39,E7,3,2,97119,3.2,6,6,CS,CS,CS_NGT_NISM,True
P40,E7,3,2,97119,0.62,14,14,NC,NC,,False
P41,E7,3,2,97119,3.61,16,16,PN,PN,PN_PIQ,True
P42,E7,3,2,97119,1.32,16,16,PN,PN,PN_PIQ,True
P43,E7,3,2,97119,0.46,16,16,PN,PN,PN_PIQ,True
P44,E7,3,2,97119,1.01,16,16,PN,PN,PN_PIQ,True
P45,E7,3,2,97119,0.54,14,14,NC,NC,,False
P46,E7,3,2,97119,1.67,14,14,NC,NC,,False
P47,E8,2,2,97128,1.59,16,16,PN,PN,PN_PIQ,True
P48,E9,1,2,97116,4.34,16,16,PN,PN,PN_PIQ,True
P49,E9,1,2,97116,0.86,11,10,JA,JA,JA,True
P50,E9,1,2,97116,3.43,16,16,PN,PN,PN_PIQ,True
