groupe,representante,observe_ha,representante_eligible_ha,marge_representante_eur_ha,part_eligible_pct
AG,AG,100.84,48.449999999999996,5998.689833333332,48.04641015470052
AN,AN_NU,132.67000000000002,122.41,6969.586666666666,92.26652596668424
BA,BA_INT,1920.8,1318.87,10339.585,68.6625364431487
BC,BC_BT,147.20999999999995,93.01,11386.5375,63.1818490591672
CS,CS_NGT_NISM,12812.93,4019.76,1521.2725428571428,31.372683687493804
IG,IG_PLA,145.42000000000002,103.26,11396.154999999999,71.00811442717645
JA,JA,621.4699999999999,621.4699999999999,116.0,100.0
MA,MA_ROTA,1086.9699999999998,663.1199999999999,27928.730899999995,61.006283522084324
ME,ME,189.36,189.36,9341.004,99.99999999999999
PN,PN_PIQ,6109.43,6109.43,1602.0,100.0
VE,VE_BTGT,310.89,143.70999999999998,4367.501333333333,46.22535301875261
