commune,AG,AN,BA,BC,CS,IG,JA,MA,ME,PN,VE,TOTAL
97101,0.86,0.39,8.57,4.49,245.68,7.75,16.06,9.34,0.0,147.45,10.63,451.22
97102,0.0,0.0,27.56,0.0,1124.92,14.49,95.9,68.49,109.22,346.19,9.55,1796.32
97103,0.0,8.13,0.41,5.03,502.98,2.46,4.97,26.13,0.0,107.52,5.54,663.17
97104,11.32,0.04,98.83,2.54,1.42,3.38,23.39,59.66,0.0,86.77,10.25,297.6
97105,0.0,0.0,0.0,0.0,34.18,0.0,0.0,0.0,0.0,0.0,0.0,34.18
97106,0.0,0.0,4.23,0.0,0.0,0.0,3.4,4.37,0.0,0.0,8.64,20.64
97107,13.29,4.84,1184.51,57.51,297.55,2.55,151.16,48.52,0.0,78.19,26.14,1864.26
97108,0.0,0.07,0.0,0.19,887.41,4.34,6.62,15.63,0.0,369.1,0.36,1283.72
97109,10.15,0.0,32.17,2.22,0.0,0.0,6.82,30.71,0.0,37.28,5.16,124.51
97111,0.0,0.0,0.0,0.25,0.11,0.0,0.0,16.84,0.0,17.9,5.19,40.29
97112,0.51,0.6,0.0,0.72,765.32,2.2,1.54,22.56,0.0,557.0,2.58,1353.03
97113,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.61,0.0,13.67,0.0,15.71
97114,0.52,2.91,101.75,15.91,20.35,2.52,23.5,9.66,0.0,105.33,1.77,284.22
97115,0.88,37.01,10.34,7.2,1026.01,8.01,14.44,24.8,0.0,91.41,12.5,1232.6
97116,0.56,0.54,0.06,2.34,530.12,11.15,7.56,30.65,0.0,443.41,7.04,1033.43
97117,0.94,1.73,1.32,3.22,1021.0,19.9,12.68,181.11,5.72,764.85,16.15,2028.62
97118,0.66,20.81,77.98,9.54,285.35,11.9,32.69,49.06,0.0,135.91,4.47,628.37
97119,0.0,0.0,97.04,4.07,1798.44,16.87,77.35,68.08,37.63,533.85,30.57,2663.9
97121,2.13,0.0,8.63,0.0,0.0,0.23,0.0,13.48,0.0,27.82,12.42,64.71
97122,0.62,0.0,34.83,0.0,1096.4,7.45,46.56,39.67,32.48,418.77,11.64,1688.42
97124,11.41,0.0,78.45,3.17,67.33,1.04,18.05,30.46,0.0,107.89,2.53,320.33
97125,0.19,0.0,0.0,14.93,799.8,12.21,34.3,173.16,4.31,366.7,15.03,1420.63
97126,0.0,0.0,0.0,0.0,533.36,1.48,5.58,20.55,0.0,430.98,3.11,995.06
97128,0.28,0.0,0.0,0.32,330.31,3.99,5.31,13.26,0.0,593.64,7.36,954.47
97129,13.41,55.6,13.37,5.57,1442.56,9.88,17.62,65.88,0.0,300.08,31.1,1955.07
97132,23.85,0.0,140.75,7.89,0.82,0.19,15.8,17.56,0.0,25.1,20.58,252.54
97134,9.26,0.0,0.0,0.1,1.51,0.0,0.17,46.73,0.0,2.62,50.58,110.97
TOTAL,100.84,132.67,1920.8,147.21,12812.93,145.42,621.47,1086.97,189.36,6109.43,310.89,23577.99
