crop,gross_margin
AG,39951.274289999994
AN_NU,199818.04973333332
AN_PA,6921839.532999999
BA_INT,12433971.337599998
BA_IRR,2431631.800454545
BA_PER,1638689.6080500002
BA_SINT,1131531.3314590903
BC_BT,2777518.092375
BC_GTMG,37660.5445
CS_BT_NIM,9304568.167293714
CS_BT_NISM,6564.829562571431
CS_CGT_NIM,2047079.4063140007
CS_CGT_NISM,3089.612258571429
CS_EGT_NIM,5061309.029403429
CS_EGT_NISM,213507.16709771423
CS_MG_NISM,3370805.9064494297
CS_NGT_NIM,8680226.869096858
CS_NGT_NISM,853205.7056614285
CS_SBT_NIM,769821.8838439998
IG_PLA,3189100.0151999993
IG_TUT,162737.80500000002
JA,49979.76
MA_ROTA,12806719.554194998
MA_TO_CO_JA,13560154.522165999
ME,39699.26700000001
NC,0.0
PN_PIQ,9766016.280000001
VE_BTGT,24763.732559999997
