crop,labor_cost
AG,50816.687999999995
AN_NU,194640.63
AN_PA,2858701.5799999996
BA_INT,29043533.889999997
BA_IRR,4380645.142727273
BA_PER,3050483.5488749994
BA_SINT,2951607.6852272726
BC_BT,2302104.620625
BC_GTMG,31950.227500000005
CS_BT_NIM,663878.4628571429
CS_BT_NISM,770.5492857142858
CS_CGT_NIM,157166.435
CS_CGT_NISM,384.2892857142857
CS_EGT_NIM,397863.5657142857
CS_EGT_NISM,26797.77285714286
CS_MG_NISM,410789.48071428575
CS_NGT_NIM,705438.8564285715
CS_NGT_NISM,110527.51071428573
CS_SBT_NIM,59698.40499999999
IG_PLA,2914813.44
IG_TUT,275874.58
JA,40069.979999999996
MA_ROTA,11748738.825000001
MA_TO_CO_JA,11384531.76
ME,41369.5
NC,0.0
PN_PIQ,11905761.42
VE_BTGT,31837.806
