crop,production_tonnes
AG,133.2
AN_NU,573.4000000000001
AN_PA,14805.35
BA_INT,54115.2
BA_IRR,8933.84
BA_PER,6267.78
BA_SINT,5364.63
BC_BT,6342.18
BC_GTMG,86.32000000000001
CS_BT_NIM,249285.28
CS_BT_NISM,231.472
CS_CGT_NIM,50243.13
CS_CGT_NISM,98.28
CS_EGT_NIM,115076.16
CS_EGT_NISM,6200.688
CS_MG_NISM,95051.832
CS_NGT_NIM,193298.94
CS_NGT_NISM,24228.72
CS_SBT_NIM,21255.975
IG_PLA,5037.12
IG_TUT,269.40000000000003
JA,0.0
MA_ROTA,24761.7
MA_TO_CO_JA,23441.04
ME,85.0
NC,0.0
PN_PIQ,4023.4524000000006
VE_BTGT,82.215
