crop,revenue
AG,93240.0
AN_NU,420493.3333333333
AN_PA,10857256.666666666
BA_INT,51659572.480000004
BA_IRR,8570705.68
BA_PER,5891713.199999999
BA_SINT,5173490.220000001
BC_BT,5073744.0
BC_GTMG,69056.0
CS_BT_NIM,16172522.101257142
CS_BT_NISM,15181.542445714287
CS_CGT_NIM,3525178.7666
CS_CGT_NISM,6977.683885714285
CS_EGT_NIM,8598978.090514287
CS_EGT_NISM,469068.3714971428
CS_MG_NISM,6623002.015634286
CS_NGT_NIM,15152601.632028572
CS_NGT_NISM,1922896.3385142856
CS_SBT_NIM,1414116.4147499998
IG_PLA,7555679.999999999
IG_TUT,538800.0
JA,86172.0
MA_ROTA,25999785.0
MA_TO_CO_JA,25785144.0
ME,102000.0
NC,0.0
PN_PIQ,23470139.0
VE_BTGT,57550.5
