crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,22437364.48
BA_IRR,3746432.08
BA_PER,2507112.0
BA_SINT,2276590.02
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,10887674.165257143
CS_BT_NISM,10274.336045714288
CS_CGT_NIM,2365064.8949
CS_CGT_NISM,4708.398685714285
CS_EGT_NIM,5703661.904914286
CS_EGT_NISM,313059.0614171428
CS_MG_NISM,5063201.452514286
CS_NGT_NIM,10167421.969428573
CS_NGT_NISM,1298037.6497142857
CS_SBT_NIM,976881.0089999998
IG_PLA,0.0
IG_TUT,0.0
JA,86172.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3352877.0
VE_BTGT,0.0
