crop,subsidy_per_tonne
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,414.62222222222226
BA_IRR,419.3529411764706
BA_PER,400.0
BA_SINT,424.3703703703704
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,43.675559845559846
CS_BT_NISM,44.386949806949815
CS_CGT_NIM,47.07240362811792
CS_CGT_NISM,47.90800453514739
CS_EGT_NIM,49.56423558897243
CS_EGT_NISM,50.48779448621553
CS_MG_NISM,53.26779448621554
CS_NGT_NIM,52.59947089947091
CS_NGT_NISM,53.57433862433862
CS_SBT_NIM,45.95794871794871
IG_PLA,0.0
IG_TUT,0.0
JA,
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,
PN_PIQ,833.3333333333333
VE_BTGT,0.0
