region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,18.75,17.82,1916.1290322580646,False
1,BA,8.63,9.87,1.2399999999999984,14.368482039397431,True
1,BC,6.83,1.22,5.61,82.13762811127378,False
1,CS,775.8,605.24,170.55999999999995,21.985047692704295,False
1,IG,20.33,3.5999999999999996,16.729999999999997,82.2921790457452,False
1,JA,23.62,7.87,15.75,66.68077900084674,False
1,MA,40.6,23.09,17.51,43.12807881773399,False
1,PN,604.53,623.72,19.190000000000055,3.1743668635138134,True
1,VE,17.67,0.03,17.64,99.83022071307299,False
1,TOTAL,1500.3600000000001,1293.39,283.47,18.89346556826362,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,60.33,59.01,4470.454545454545,False
2,BC,18.47,1.2,17.27,93.50297780184083,False
2,CS,2151.11,1736.06,415.0500000000002,19.294689718331473,True
2,IG,36.1,19.279999999999998,16.820000000000004,46.59279778393353,False
2,JA,52.29,44.64,7.649999999999999,14.629948364888122,True
2,MA,367.53,240.62,126.90999999999997,34.53051451582183,False
2,ME,10.03,1.69,8.34,83.1505483549352,False
2,PN,1725.19,1733.55,8.3599999999999,0.48458430665607266,True
2,VE,38.54,1.96,36.58,94.91437467566165,False
2,TOTAL,4403.72,3839.33,699.1300000000001,15.87589583352257,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,50.03,109.4,68.61945681490309,False
3,BC,4.07,12.649999999999999,8.579999999999998,210.81081081081075,False
3,CS,4019.76,3314.1,705.6600000000003,17.554779389814325,True
3,IG,38.81,61.59,22.78,58.696212316413295,False
3,JA,219.81,87.08,132.73000000000002,60.383967972339754,False
3,MA,176.24,116.5,59.74000000000001,33.89695869269179,False
3,ME,179.33,2.56,176.77,98.5724641721965,False
3,PN,1298.81,1423.63,124.82000000000016,9.610335614909046,True
3,VE,51.76,2.75,49.01,94.6870170015456,False
3,TOTAL,6148.639999999999,5070.89,1390.1100000000006,22.608414218428802,False
4,AG,14.95,2.25,12.7,84.94983277591973,False
4,AN,121.55,176.82,55.269999999999996,45.47099958864665,False
4,BA,102.1,55.58,46.519999999999996,45.56317335945152,False
4,BC,27.34,7.95,19.39,70.92172640819312,False
4,CS,3256.9,2244.23,1012.6700000000001,31.093063956523075,False
4,IG,32.25,4.57,27.68,85.82945736434108,False
4,JA,69.72,36.7,33.019999999999996,47.36087205966724,False
4,MA,165.87,88.57,77.30000000000001,46.602761198528974,False
4,PN,634.92,665.95,31.030000000000086,4.887229887229902,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,3282.62,1369.1900000000003,30.567667066290714,False
5,AG,37.66,0.97,36.69,97.42432288900692,False
5,AN,7.75,56.27,48.52,626.0645161290323,False
5,BA,1427.01,266.64,1160.37,81.31477705131708,False
5,BC,81.31,135.73,54.41999999999999,66.92903701881686,False
5,CS,318.72,253.55,65.17000000000002,20.447414658634543,False
5,IG,5.26,2.99,2.2699999999999996,43.15589353612167,False
5,JA,190.46,243.03,52.56999999999999,27.601596135671524,False
5,MA,75.74,265.25,189.51,250.21124900977028,False
5,PN,208.62,140.3,68.32,32.7485380116959,False
5,VE,48.49,2.75,45.74,94.3287275726954,False
5,TOTAL,2401.0199999999995,1367.4799999999998,1723.58,71.78532457039093,False
6,AG,44.27,25.31,18.960000000000004,42.8281002936526,False
6,AN,0.04,10.11,10.07,25175.0,False
6,BA,222.31,114.77,107.54,48.37389231253655,False
6,BC,8.28,19.05,10.770000000000001,130.07246376811597,False
6,CS,104.55,103.29,1.259999999999991,1.2051649928263901,True
6,IG,4.65,17.63,12.979999999999999,279.1397849462365,False
6,JA,51.83,35.88,15.949999999999996,30.77368319506077,False
6,MA,202.25,279.17,76.92000000000002,38.03213844252164,False
6,PN,280.28,287.49,7.210000000000036,2.5724275724275856,True
6,VE,94.77,1.96,92.81,97.93183496887201,False
6,TOTAL,1013.2299999999999,894.6600000000001,354.47,34.98415956890341,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,27.330000000000002,27.330000000000002,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,1388.56,797.5300000000002,36.48202955962472,False
7,IG,8.02,2.4899999999999998,5.529999999999999,68.95261845386533,False
7,JA,13.74,11.16,2.58,18.777292576419214,True
7,MA,58.74,26.29,32.45,55.2434456928839,False
7,PN,1357.08,1454.48,97.40000000000009,7.177174521767331,True
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,2910.31,970.9600000000002,26.73487875191709,False
