crop,gross_margin
AG,171142.62094499997
AN_NU,132910.0177333333
AN_PA,3974318.3039999995
BA_INT,3758542.5433499995
BA_IRR,596525.2924999999
BA_PER,728165.3113166667
BA_SINT,10535.673477272721
BC_BT,1852931.247375
BC_GTMG,170947.11012499998
CS_BT_NIM,6585662.822676
CS_BT_NISM,3156.4909405714293
CS_CGT_NIM,1549882.7805625717
CS_CGT_NISM,2265.7156562857144
CS_EGT_NIM,4100881.7186348573
CS_EGT_NISM,157453.29251771426
CS_MG_NISM,2245446.684029715
CS_NGT_NIM,7112523.4961397145
CS_NGT_NISM,579589.6261031429
CS_SBT_NIM,758663.5096733331
IG_PLA,991009.6387999998
IG_TUT,228249.73875
JA,93272.0
MA_MOBIO,11718.3
MA_PLBIO,521236.14
MA_ROTA,11759671.432753999
MA_TO_CO_JA,10012989.366039
ME,39699.26700000001
NC,0.0
PN_PIQ,9768403.26
PN_TOUR,348160.96
VE_BTGT,41272.88759999999
