crop,labor_cost
AG,217687.704
AN_NU,129466.23
AN_PA,1641383.0399999998
BA_INT,8779283.36578125
BA_IRR,1074655.145
BA_PER,1355507.6520416667
BA_SINT,27482.380681818184
BC_BT,1535774.545625
BC_GTMG,145027.08687499998
CS_BT_NIM,469885.29000000004
CS_BT_NISM,370.49428571428575
CS_CGT_NIM,118993.69928571429
CS_CGT_NISM,281.8121428571429
CS_EGT_NIM,322365.5014285715
CS_EGT_NISM,19762.32285714286
CS_MG_NISM,273645.5028571429
CS_NGT_NIM,578032.1778571429
CS_NGT_NISM,75082.24357142858
CS_SBT_NIM,58833.09166666666
IG_PLA,905775.36
IG_TUT,386930.995
JA,0.0
MA_MOBIO,64802.39999999999
MA_PLBIO,3989631.645
MA_ROTA,10788188.790000001
MA_TO_CO_JA,8406482.040000001
ME,41369.5
NC,0.0
PN_PIQ,11908671.39
PN_TOUR,175816.655
VE_BTGT,53063.009999999995
