crop,production_tonnes
AG,570.6
AN_NU,381.4
AN_PA,8500.8
BA_INT,16357.949999999999
BA_IRR,2191.64
BA_PER,2785.14
BA_SINT,49.949999999999996
BC_BT,4230.98
BC_GTMG,391.81999999999994
CS_BT_NIM,176441.16
CS_BT_NISM,111.29599999999999
CS_CGT_NIM,38040.03
CS_CGT_NISM,72.07199999999999
CS_EGT_NIM,93239.45999999999
CS_EGT_NISM,4572.768
CS_MG_NISM,63318.336
CS_NGT_NIM,158387.94
CS_NGT_NISM,16458.768
CS_SBT_NIM,20947.875
IG_PLA,1565.28
IG_TUT,377.84999999999997
JA,0.0
MA_MOBIO,60.3
MA_PLBIO,3625.2900000000004
MA_ROTA,22737.24
MA_TO_CO_JA,17309.16
ME,85.0
NC,0.0
PN_PIQ,4024.4358
PN_TOUR,166.6728
VE_BTGT,137.02499999999998
