crop,revenue
AG,399420.0
AN_NU,279693.3333333333
AN_PA,6233919.999999999
BA_INT,15615662.58
BA_IRR,2102556.28
BA_PER,2618031.5999999996
BA_SINT,48170.299999999996
BC_BT,3384784.0
BC_GTMG,313455.99999999994
CS_BT_NIM,11446719.0348
CS_BT_NISM,7299.565165714286
CS_CGT_NIM,2668979.9388857144
CS_CGT_NISM,5116.968182857143
CS_EGT_NIM,6967247.375228572
CS_EGT_NISM,345919.8138971429
CS_MG_NISM,4411882.003017143
CS_NGT_NIM,12415946.813457143
CS_NGT_NISM,1306239.2368914287
CS_SBT_NIM,1393619.1537499998
IG_PLA,2347920.0
IG_TUT,755699.9999999999
JA,93272.0
MA_MOBIO,99494.99999999999
MA_PLBIO,5709831.75
MA_ROTA,23874102.0
MA_TO_CO_JA,19040076.0
ME,102000.0
NC,0.0
PN_PIQ,23475875.5
PN_TOUR,833364.0
VE_BTGT,95917.5
