farm,revenue
E1,35303.48211428571
E10,37345.0
E100,265871.31999999995
E1000,37302.1494
E1001,7009.1554857142855
E1002,45941.11682857143
E1003,9086.0
E1004,37516.11304285714
E1005,25214.946057142857
E1006,285201.0
E1007,15218.508828571428
E1008,27048.12585714286
E1009,6071.0
E101,31762.5
E1010,17748.5
E1011,62912.700000000004
E1012,3778135.926348571
E1013,26068.297457142857
E1014,1078.0
E1015,52719.56734285714
E1016,14229.500371428572
E1017,28468.69317142857
E1018,47250.95714285714
E1019,40540.5
E102,8200.5
E1020,49395.5
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,50156.84762857143
E1025,12626.081457142856
E1026,29140.803971428573
E1027,53053.0
E1028,107712.0
E1029,33989.60331428571
E103,14735.236514285714
E1030,4080.6727142857144
E1031,41016.7588
E1032,79992.0
E1033,10510.5
E1034,37734.220628571435
E1035,17248.0
E1036,86456.86676190476
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,51384.096914285714
E1040,39719.30443809524
E1042,56997.00879047619
E1043,31693.05934285715
E1044,84744.0
E1045,45248.81188571428
E1046,4704.7756
E1047,53831.29697142857
E1048,28372.677342857143
E1049,109431.0
E105,15602.572142857143
E1050,28297.5
E1051,6433.060514285715
E1052,8536.0
E1053,69796.9472857143
E1054,884230.4463619047
E1055,105065.01571428572
E1056,13106.160600000001
E1057,437594.22
E1058,29649.877000000004
E1059,10703.0
E106,15708.0
E1060,53533.22574285715
E1061,14329.121028571428
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,22368.5
E1066,8893.5
E1067,23061.3824
E1068,29837.5
E1069,11914.392914285714
E107,24836.2
E1070,30222.5
E1071,11725.872662857144
E1072,7584.5
E1073,31814.541857142856
E1074,7629.0
E1075,17354.4
E1076,15044.6
E1077,15284.5
E1078,9586.5
E1079,54619.11757142858
E108,28149.659
E1080,7122.5
E1081,8123.5
E1082,29547.336428571427
E1083,22391.07137142857
E1084,5005.0
E1085,16285.5
E1086,4861.280365714287
E1087,23437.641428571427
E1088,1655.5
E1089,16093.0
E109,54607.96991428571
E1090,5582.5
E1091,14822.5
E1092,17774.518742857144
E1093,25641.0
E1094,5919.692228571429
E1095,7122.5
E1096,26790.880185714283
E1097,9025.16134857143
E1098,12553.45725714286
E1099,7492.465628571428
E11,47589.58579999999
E110,34477.011685714286
E1100,54485.50394285714
E1101,5505.5
E1102,7849.0
E1103,21265.39262857143
E1104,9394.0
E1105,10255.2
E1106,9086.0
E1107,6891.5
E1108,29683.02
E1109,23185.628114285715
E111,6853.0
E1110,14363.0
E1111,4994.977085714286
E1112,240417.72
E1113,15366.46
E1114,2194.5
E1115,8085.0
E1116,7276.5
E1117,3850.0
E1118,18095.0
E1119,20443.5
E112,38769.5
E1120,22721.430605714286
E1121,7777.0
E1122,167892.2
E1123,17171.0
E1124,10010.0
E1125,22227.23456
E1126,3216.5302571428574
E1127,26846.76
E1128,25863.822028571427
E1129,111906.66666666666
E113,29382.8998
E1130,4861.280365714287
E1131,26550.6
E1132,44647.36028571428
E1133,118.0
E1134,426.0
E1135,27385.495514285714
E1136,26218.5
E1137,73248.0
E1138,17961.098542857144
E1139,16236.279685714286
E114,47392.782017142854
E1140,13970.303057142857
E1141,25045.164057142858
E1142,61277.71906857143
E1143,88704.0
E1144,0.0
E1145,13598.875794285717
E1146,36907.21059285714
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19467.372885714285
E115,27975.700542857143
E1150,39606.52928571429
E1151,9361.543285714286
E1152,8441.377085714286
E1153,38016.0
E1154,15169.0
E1155,9422.5
E1156,3874.0305371428576
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,44852.19452857143
E1160,114496.17322857144
E1161,56570.70111428571
E1162,38.0
E1163,10266.0
E1164,3234.0
E1165,9285.233514285714
E1166,18944.38222857143
E1167,12705.0
E1168,13090.0
E117,35458.5
E1170,5042.461071428572
E1171,4219.422154285714
E1172,7045.5
E1173,8619.451285714287
E1174,12149.0
E1175,5274.5
E1176,9194.5
E1177,11670.431114285713
E1178,1963.5
E1179,248912.99999999997
E118,12842.934114285716
E1180,6518.868399999999
E1181,25971.63717142857
E1182,2632.5
E1183,19806.07182857143
E1184,64659.304142857145
E1185,18305.3636
E1186,15659.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,59915.89841142857
E119,37088.011685714286
E1190,348138.0
E1191,31762.5
E1192,12260.069428571429
E1193,9625.0
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,0.0
E12,16043.189114285715
E120,18018.0
E1200,50045.46265714285
E1201,30864.986
E1202,6337.044685714286
E1203,2618.0
E1204,23523.5
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1208,0.0
E1209,8881.464142857143
E121,23201.84427142857
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,8401.385
E1214,7318.560514285715
E1215,3823.490685714286
E1216,13202.176428571429
E1217,60633.99574285715
E1218,7681.266285714286
E1219,17282.849142857143
E122,30909.5
E1220,0.0
E1222,8545.408742857144
E1223,23479.84634285714
E1224,6769.115914285714
E1225,8234.457628571428
E1226,6048.9972
E1227,55423.61354285714
E1228,123404.44551428569
E1229,9073.4958
E123,679486.5
E1230,6000.989285714286
E1231,6506.5
E1232,27700.566542857145
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9300.608
E1237,34590.80257142857
E1238,12224.266285714286
E1239,9409.5512
E124,12936.0
E1240,9463.647571428572
E1241,2640.435285714286
E1242,17706.817485714284
E1243,22330.0
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,220112.6666666667
E1248,5376.8864
E1249,880.0
E125,27412.0
E1250,11614.964142857143
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8039.615914285715
E1254,28516.701085714285
E1255,48184.61402857143
E1256,53284.08377142857
E1257,13606.288542857143
E1258,45509.41337142857
E1259,6817.123828571428
E126,15400.0
E1260,16069.723914285714
E1261,53229.76996190476
E1262,5424.894314285714
E1263,77779.79741904762
E1264,12106.469885714287
E1265,30292.993914285715
E1266,22285.5
E1267,30196.97808571429
E1268,5164.298342857142
E1269,13634.247657142856
E127,5967.5
E1270,9608.981342857141
E1271,67491.49584
E1272,9270.338828571428
E1273,84110.3344857143
E1274,27741.031428571427
E1275,0.0
E1276,3744.0
E1277,34940.24581142857
E1278,29428.85145714286
E1279,54246.56796190476
E128,2464.0
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13547.413771428572
E1283,286.0
E1284,46145.86942857143
E1285,8593.416657142858
E1286,6519.246337142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,24929.066009523805
E129,20554.076142857146
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4379.395908571429
E1293,1493.3344914285717
E1294,3388.0
