crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,6782369.58
BA_IRR,919070.6799999999
BA_PER,1114056.0
BA_SINT,21197.3
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,7706166.4428
CS_BT_NISM,4940.089965714286
CS_CGT_NIM,1790635.6461857143
CS_CGT_NISM,3452.825702857143
CS_EGT_NIM,4621342.561628572
CS_EGT_NISM,230868.97101714285
CS_MG_NISM,3372828.1092571435
CS_NGT_NIM,8331121.8408571435
CS_NGT_NISM,881767.6101714286
CS_SBT_NIM,962721.3649999999
IG_PLA,0.0
IG_TUT,0.0
JA,93272.0
MA_MOBIO,0.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
NC,0.0
PN_PIQ,3353696.5
PN_TOUR,0.0
VE_BTGT,0.0
