region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,11.25,10.32,1109.6774193548388,False
1,BA,8.63,41.16,32.529999999999994,376.94090382387014,False
1,BC,6.83,0.0,6.83,100.0,False
1,CS,775.8,238.16,537.64,69.30136633152875,False
1,IG,20.33,1.8,18.529999999999998,91.1460895228726,False
1,JA,23.62,128.53,104.91,444.1574936494496,False
1,MA,40.6,43.660000000000004,3.0600000000000023,7.536945812807887,True
1,PN,604.53,1032.31,427.78,70.76241046763602,False
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1496.87,1160.69,77.3607667493135,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,119.51,118.19000000000001,8953.78787878788,False
2,BC,18.47,2.33,16.14,87.38494856524093,False
2,CS,2151.11,1191.65,959.46,44.60301890651803,False
2,IG,36.1,3.13,32.97,91.32963988919667,False
2,JA,52.29,243.9,191.61,366.43717728055077,False
2,MA,367.53,385.78,18.25,4.965581041003456,True
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,2447.72,722.5299999999997,41.88118410146127,False
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4394.0199999999995,2110.8599999999997,47.93356525846329,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,184.47,25.039999999999992,15.705952455623152,True
3,BC,4.07,18.11,14.04,344.96314496314494,False
3,CS,4019.76,1499.58,2520.1800000000003,62.6947877485223,False
3,IG,38.81,20.61,18.200000000000003,46.89513012110281,False
3,JA,219.81,868.74,648.9300000000001,295.2231472635458,False
3,MA,176.24,236.89,60.64999999999998,34.41330004539263,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,3304.3,2005.4900000000002,154.40980589924627,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6132.7,5524.240000000001,89.84490879283877,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,193.95,72.39999999999999,59.563965446318385,False
4,BA,102.1,237.44,135.34,132.55631733594515,False
4,BC,27.34,16.4,10.940000000000001,40.01463057790784,False
4,CS,3256.9,1944.99,1311.91,40.28094200006141,False
4,IG,32.25,39.83,7.579999999999998,23.50387596899224,False
4,JA,69.72,249.46,179.74,257.8026391279403,False
4,MA,165.87,250.62,84.75,51.09423042141436,False
4,PN,634.92,1530.14,895.2200000000001,140.99729099729103,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4462.83,2766.4400000000005,61.761783885997765,False
5,AG,37.66,0.0,37.66,100.0,False
5,AN,7.75,47.71,39.96,515.6129032258065,False
5,BA,1427.01,543.42,883.59,61.918977442344485,False
5,BC,81.31,190.27,108.96000000000001,134.00565736071823,False
5,CS,318.72,158.47,160.25000000000003,50.27924196787149,False
5,IG,5.26,1.25,4.01,76.23574144486692,False
5,JA,190.46,215.62,25.159999999999997,13.210122860443136,True
5,MA,75.74,702.05,626.31,826.9210456825983,False
5,PN,208.62,534.3,325.67999999999995,156.11159045153866,False
5,VE,48.49,4.71,43.78,90.28665704268921,False
5,TOTAL,2401.0199999999995,2397.8,2255.36,93.93341163338916,False
6,AG,44.27,0.46,43.81,98.96092161734808,False
6,AN,0.04,3.14,3.1,7750.0,False
6,BA,222.31,117.85,104.46000000000001,46.988439566371284,False
6,BC,8.28,19.72,11.44,138.16425120772948,False
6,CS,104.55,97.14,7.409999999999997,7.087517934002866,True
6,IG,4.65,12.48,7.83,168.38709677419354,False
6,JA,51.83,26.88,24.95,48.13814393208567,False
6,MA,202.25,470.47,268.22,132.61804697156987,False
6,PN,280.28,262.94,17.339999999999975,6.186670472384749,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,1011.0799999999999,583.33,57.57133128707205,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,108.9,108.9,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,181.98,2004.1100000000001,91.67554858217181,False
7,IG,8.02,29.86,21.84,272.31920199501246,False
7,JA,13.74,823.97,810.23,5896.870451237263,False
7,MA,58.74,37.01,21.730000000000004,36.99353081375554,False
7,PN,1357.08,2439.16,1082.08,79.73590355763847,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3620.88,4057.0299999999997,111.70821160798609,False
