farm,revenue
E1,30477.400857142857
E10,38726.82
E100,141671.62
E1000,31658.714400000004
E1001,6065.413988571429
E1002,80813.66623428572
E1003,12299.0
E1004,40942.74
E1005,19904.0
E1006,263655.0
E1007,32378.7
E1008,23483.00756
E1009,7350.5
E101,42773.5
E1010,57840.18
E1011,74642.40000000001
E1012,3316505.701051429
E1013,22152.120594285716
E1014,1078.0
E1015,47605.622571428576
E1016,13666.5
E1017,31416.0
E1018,58252.33333333333
E1019,59884.1
E102,8200.5
E1020,71789.48
E1021,13003.250537142858
E1022,91287.0
E1023,28305.672708571434
E1024,51920.899999999994
E1025,10926.053965714285
E1026,27065.5
E1027,65604.0
E1028,108706.5
E1029,29413.10345142857
E103,13864.0
E1030,3531.2341714285717
E1031,32937.0
E1032,79992.0
E1033,10510.5
E1034,32653.53010285715
E1035,24197.0
E1036,1233670.0230704763
E1037,26588.116114285716
E1038,25567.90157714286
E1039,31088.116114285713
E104,37540.83314285714
E1040,38538.077150476194
E1041,248815.0
E1042,16684.822034285713
E1043,18138.0
E1044,84744.0
E1045,45058.71030857143
E1046,4071.30528
E1047,38869.107931428574
E1048,38161.799999999996
E1049,86688.0
E105,62010.666666666664
E1050,53730.7
E1051,5566.8868114285715
E1052,8701.0
E1053,60528.93901714287
E1054,955345.0
E1055,89041.0490057143
E1056,11341.49328
E1057,156746.55333333334
E1058,21025.0
E1059,22742.24
E106,29583.5
E1060,27322.0
E1061,7570.861874285714
E1062,14822.5
E1063,5700.444285714286
E1064,15130.5
E1065,33142.5
E1066,9933.0
E1067,33507.0
E1068,36421.0
E1069,9801.0
E107,24408.620000000003
E1070,30222.5
E1071,12562.0
E1072,12147.0
E1073,17860.0
E1074,7661.5
E1075,16439.5
E1076,6853.0
E1077,15284.5
E1078,13398.0
E1079,34176.5
E108,24945.597857142857
E1080,9104.5
E1081,11858.0
E1082,16338.5
E1083,21983.0
E1084,10042.0
E1085,21000.5
E1086,1870.0
E1087,14154.0
E1088,5418.0
E1089,20528.0
E109,32499.5
E1090,5582.5
E1091,19841.8
E1092,18694.0
E1093,30838.5
E1094,6121.5
E1095,7122.5
E1096,23286.667382857144
E1097,9509.5
E1098,12093.5
E1099,6486.974142857143
E11,41974.32357142857
E110,11574.743571428571
E1100,47685.050285714286
E1101,8733.0
E1102,7849.0
E1103,15868.76042857143
E1104,9394.0
E1105,11791.5
E1106,9086.0
E1107,9605.0
E1108,44097.18666666667
E1109,33796.0
E111,11660.5
E1110,14563.0
E1111,4260.341857142857
E1112,313373.7
E1113,4697.0
E1114,4858.5
E1115,8085.0
E1116,14014.0
E1117,3850.0
E1118,22869.0
E1119,24794.0
E112,47671.0
E1120,25025.0
E1121,13969.0
E1122,166519.35
E1123,17171.0
