crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.96,99.88000000000001,99.0479968266561,False
AN,132.67000000000002,248.2,115.52999999999997,87.08072661490914,False
BA,1920.8,1354.74,566.06,29.47001249479383,False
BC,147.21,246.23,99.01999999999998,67.26445214319678,False
CS,12812.93,5263.19,7549.740000000001,58.92282249259148,False
IG,145.42,108.97,36.44999999999999,25.065328015403654,False
JA,621.47,2605.11,1983.64,319.1851577710911,False
MA,1086.97,2129.44,1042.47,95.90605076497052,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,11564.19,5454.76,89.28427038201599,False
VE,310.89,4.71,306.18,98.48499469265657,False
TOTAL,23577.99,23525.739999999998,17443.090000000004,73.98039442717553,False
