crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,6,1,0.96,19.200000000000003,13440.0,0.0,13440.0,5758.742239999999,472.576,7324.928,0.29407342874922215,2462.8611764705875,5.76,138.24,0.0,0.0,-1.13904275355
AN_NU,1,2,2.61,52.2,38280.0,0.0,38280.0,18190.621199999998,1143.18,17719.29,0.7113752333540759,5908.6433823529405,19.14,335.5590000000001,0.0,0.0,-3.9681223260281993
AN_NU,4,1,26.82,536.4,393360.0,0.0,393360.0,186924.3144,11747.16,182080.98,7.309993777224642,60716.404411764706,196.68,3448.158000000001,0.0,0.0,-40.77587769504839
AN_NU,5,1,14.02,280.4,205626.66666666666,0.0,205626.66666666666,97713.60506666666,6140.76,95181.78,3.8212570006222775,31739.14950980392,102.81333333333335,1802.504666666667,0.0,0.0,-21.315354410312395
AN_NU,6,1,3.14,62.800000000000004,46053.333333333336,0.0,46053.333333333336,21884.50213333333,1375.3200000000002,21317.46,0.8558307405102676,7108.482843137255,23.02666666666667,403.6993333333334,0.0,0.0,-4.7739096182868
AN_PA,1,2,9.46,331.1,242806.66666666666,0.0,242806.66666666666,154796.81799999997,4124.56,63930.68,2.5666210329807098,42311.9367647059,151.36,2030.746666666667,0.0,0.0,-14.382542990125197
AN_PA,4,1,171.58,6005.3,4403886.666666666,0.0,4403886.666666666,2807615.0139999995,74808.88,1159537.64,46.551885500933416,767429.398529412,2745.28,36832.50666666667,0.0,0.0,-260.86223321835956
AN_PA,5,1,20.57,719.95,527963.3333333333,0.0,527963.3333333333,336593.08099999995,8968.52,139012.06,5.58090852520224,92003.86250000003,329.12,4415.693333333334,0.0,0.0,-31.273669059923392
BA_INT,1,2,24.61,1107.45,598023.0,459173.38,1057196.38,254457.18684999997,38346.2253125,594366.49234375,23.861994593963907,719206.6662683823,184.575,9560.985000000002,0.0,291268.8,3.778448558584763
BA_INT,2,2,78.48,3531.6,1907064.0,1464279.84,3371343.84,811450.6307999999,122284.10250000001,1895403.58875,76.09464996888612,2293512.3595588235,588.6,30489.48000000001,0.0,974557.2000000001,11.586648266463571
BA_INT,3,2,153.55,6909.75,3731265.0,2864935.9,6596200.9,1587643.27675,239254.8921875,3708450.82890625,148.88294473397636,4487370.321231618,1151.625,59654.17500000002,0.0,1872364.8,22.822296406976992
BA_INT,4,1,88.7,3991.5,2155410.0,1654964.6,3810374.6,917121.1894999999,138208.459375,2142231.1203125,86.00401952395768,2592183.3115808824,665.25,34459.95000000001,0.0,625929.6,18.61965935173554
BA_INT,5,1,521.74,23478.3,12678282.0,9734624.92,22412906.92,5394575.0779,812952.441875,12600762.8490625,505.8820422370877,15247415.118198529,3913.05,202695.99000000005,0.0,6393946.8,153.05380462364352
BA_INT,6,1,40.08,1803.6,973944.0,747812.64,1721756.64,414410.5668,62450.9025,967988.98875,38.86179371499689,1171304.4772058823,300.6,15571.080000000005,0.0,0.0,13.12546350038909
BA_INT,7,3,22.9,1030.5,556470.0,427268.2,983738.2,236776.49649999998,35681.778125,553067.5609375,22.203968963907904,669233.3465073529,171.75,8896.650000000003,0.0,0.0,4.083861998721792
BA_IRR,2,2,1.9,64.6,34884.0,27090.199999999997,61974.2,17582.96704545454,2043.622727272727,31676.152272727268,1.2717005147932339,35906.64070855615,11.399999999999999,627.2280000000001,0.0,25764.0,-0.4347689635795005
BA_IRR,3,2,0.2,6.800000000000001,3672.0,2851.6000000000004,6523.6,1850.8386363636362,215.11818181818182,3334.331818181818,0.13386321208349833,3779.6463903743315,1.2000000000000002,66.024,0.0,2712.0,-0.04576515406100004
