crop,gross_margin
AG,5758.742239999999
AN_NU,324713.0428
AN_PA,3299004.9129999997
BA_INT,9616434.425099999
BA_IRR,19433.80568181818
BA_PER,1988677.6789000002
BC_BT,2609680.529625
BC_GTMG,193293.879
CS_BT_NIM,4342879.908847429
CS_CGT_NIM,473970.62339028576
CS_EGT_NIM,2308422.822428286
CS_MG_NISM,191495.53306657152
CS_NGT_NIM,2733260.026514286
CS_SBT_NIM,369762.6831853332
IG_PLA,599437.7529999999
IG_TUT,510775.61624999996
JA,521022.0
MA_MOBIO,33440.880000000005
MA_PLBIO,3409909.98
MA_ROTA,12575748.949651998
MA_TO_CO_JA,16477147.555799
NC,0.0
PN_PIQ,15406209.72
PN_TOUR,2928784.32
VE_BTGT,20570.931279999997
