crop,labor_cost
AG,7324.928
AN_NU,316299.51
AN_PA,1362480.3800000001
BA_INT,22462271.429062497
BA_IRR,35010.484090909085
BA_PER,3701999.7647499996
BC_BT,2162994.949375
BC_GTMG,163985.505
CS_BT_NIM,404536.4042857143
CS_CGT_NIM,47324.73285714286
CS_EGT_NIM,234260.77785714288
CS_MG_NISM,33358.28071428572
CS_NGT_NIM,290089.1428571429
CS_SBT_NIM,38427.03166666666
IG_PLA,547881.6
IG_TUT,865871.385
JA,0.0
MA_MOBIO,184928.64
MA_PLBIO,26100041.264999997
MA_ROTA,11536849.02
MA_TO_CO_JA,13833515.64
NC,0.0
PN_PIQ,18781727.580000002
PN_TOUR,1478997.135
VE_BTGT,26447.278000000002
