crop,revenue
AG,13440.0
AN_NU,683320.0
AN_PA,5174656.666666667
BA_INT,39953517.480000004
BA_IRR,68497.8
BA_PER,7150053.6
BC_BT,4767152.0
BC_GTMG,354432.0
CS_BT_NIM,8527888.98006857
CS_CGT_NIM,919044.3909657144
CS_EGT_NIM,4391390.8986057155
CS_MG_NISM,455591.0755314287
CS_NGT_NIM,5394816.914285715
CS_SBT_NIM,784486.0973499999
IG_PLA,1420200.0
IG_TUT,1691100.0
JA,521022.0
MA_MOBIO,283932.0
MA_PLBIO,37353534.75
MA_ROTA,25530876.0
MA_TO_CO_JA,31331916.0
NC,0.0
PN_PIQ,37024911.0
PN_TOUR,7010388.0
VE_BTGT,47806.5
