crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,0.46,100.38000000000001,99.54383181277272,False
AN,132.67000000000002,256.05,123.38,92.99766337529206,False
BA,1920.8,1352.75,568.05,29.573615160349853,False
BC,147.21,246.83,99.62,67.67203314992187,False
CS,12812.93,5311.97,7500.96,58.54211331834327,False
IG,145.42,108.96,36.459999999999994,25.072204648604043,False
JA,621.47,2557.1,1935.6299999999999,311.4599256601284,False
MA,1086.97,2126.48,1039.51,95.63373414169664,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,11550.87,5441.4400000000005,89.06624676933855,False
VE,310.89,4.71,306.18,98.48499469265657,False
TOTAL,23577.99,23516.18,17340.97,73.54727862722818,False
