crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,6,1,0.46,9.200000000000001,6440.0,0.0,6440.0,2759.3973233333327,226.44266666666667,3509.8613333333333,0.1409101846090023,1180.1209803921565,2.7600000000000002,66.24000000000001,0.0,0.0,-0.5811574680000001
AN_NU,1,2,3.83,76.60000000000001,56173.33333333333,0.0,56173.33333333333,26693.516933333332,1677.54,26001.87,1.043895457373989,8670.537990196079,28.08666666666667,492.4103333333334,0.0,0.0,-5.822953451604599
AN_NU,4,1,21.4,428.0,313866.6666666666,0.0,313866.6666666666,149149.15466666667,9373.2,145284.6,5.832731798382079,48446.348039215685,156.93333333333334,2751.3266666666673,0.0,0.0,-32.535562366667996
AN_NU,5,1,26.21,524.2,384413.3333333333,0.0,384413.3333333333,182672.86653333332,11479.98,177939.69,7.143733665214685,59335.45710784313,192.20666666666668,3369.732333333334,0.0,0.0,-39.84846213226019
AN_NU,6,1,3.14,62.800000000000004,46053.333333333336,0.0,46053.333333333336,21884.50213333333,1375.3200000000002,21317.46,0.8558307405102676,7108.482843137255,23.02666666666667,403.6993333333334,0.0,0.0,-4.7739096182868
AN_PA,1,2,7.42,259.7,190446.66666666666,0.0,190446.66666666666,121415.68599999999,3235.12,50144.36,2.013142501555694,33187.58676470589,118.72,1592.8266666666668,0.0,0.0,-11.281022091620398
AN_PA,4,1,172.55,6039.25,4428783.333333333,0.0,4428783.333333333,2823487.4149999996,75231.8,1166092.9,46.8150591163659,771767.9375000002,2760.8,37040.73333333334,0.0,0.0,-262.33697599853093
AN_PA,5,1,21.5,752.5,551833.3333333333,0.0,551833.3333333333,351810.94999999995,9374.0,145297.0,5.8332296204107035,96163.49264705885,344.0,4615.333333333334,0.0,0.0,-32.68759770482999
BA_INT,1,2,26.39,1187.55,641277.0,492384.62,1133661.6199999999,272861.64814999996,41119.7434375,637356.02328125,25.587892618232733,771225.6774816175,197.92499999999998,10252.515000000003,0.0,316897.2,4.029672858187694
BA_INT,2,2,80.29,3613.05,1951047.0,1498050.82,3449097.82,830165.2796499999,125104.3653125,1939117.66234375,77.8496361621033,2346408.095680147,602.175,31192.665000000008,0.0,1007914.8,11.85387346221152
BA_INT,3,2,153.68,6915.6,3734424.0,2867361.44,6601785.4399999995,1588987.4227999998,239457.4525,3711590.51375,149.00899346608588,4491169.462499999,1152.6,59704.680000000015,0.0,1865178.0,22.84148937683734
BA_INT,4,1,85.58,3851.1,2079594.0,1596751.6400000001,3676345.64,884861.6843,133347.011875,2066878.6840625,82.97884995332919,2501003.921139706,641.85,33247.83000000001,0.0,647490.0,16.39263244160466
BA_INT,5,1,518.57,23335.65,12601251.0,9675479.06,22276730.06,5361798.59345,808013.0865625,12524202.84171875,502.80839238487863,15154774.519577205,3889.275,201464.44500000007,0.0,6372928.8,150.86075632484454
BA_INT,6,1,42.16,1897.2,1024488.0,786621.28,1811109.28,435916.90359999996,65691.8675,1018223.94625,40.87857342874922,1232090.7374999998,316.2,16379.160000000005,0.0,0.0,13.91500900702849
BA_INT,7,3,23.56,1060.2,572508.0,439582.48,1012090.48,243600.62259999997,36710.16125,569007.499375,22.843908680771623,688521.294485294,176.7,9153.060000000003,0.0,0.0,4.1728339949143916
BA_IRR,1,2,0.27,9.18,4957.200000000001,3849.6600000000003,8806.86,2498.6321590909088,290.4095454545454,4501.347954545454,0.18071533631272274,5102.522627005348,1.62,89.1324,0.0,3661.2,-0.06178295798235006
BA_IRR,2,2,1.4,47.599999999999994,25704.0,19961.199999999997,45665.2,12955.870454545453,1505.8272727272724,23340.322727272724,0.9370424845844882,26457.524732620317,8.4,462.168,0.0,18984.0,-0.3203560784270004
BA_IRR,3,2,0.2,6.800000000000001,3672.0,2851.6000000000004,6523.6,1850.8386363636362,215.11818181818182,3334.331818181818,0.13386321208349833,3779.6463903743315,1.2000000000000002,66.024,0.0,2712.0,-0.04576515406100004
BA_PER,1,2,14.5,261.0,140940.0,104400.0,245340.0,68237.55583333335,8195.279166666665,127026.82708333331,5.099738124870358,149475.07138480392,36.25,2253.3,0.0,0.0,-11.076262202968811
BA_PER,2,2,37.82,680.76,367610.4,272304.0,639914.4,177982.36976666667,21375.54883333333,331321.00691666664,13.301523853972203,389872.2206740196,94.55,5877.228,0.0,0.0,-28.630784597260824
BA_PER,3,2,30.59,550.62,297334.8,220248.0,517582.8,143957.7126166667,17289.213083333332,267982.80279166665,10.75868891308857,315340.8574938725,76.475,4753.686000000001,0.0,0.0,-24.273830953629954
BA_PER,4,1,151.86,2733.48,1476079.2,1093392.0,2569471.2,714658.9813000001,85830.00649999999,1330365.10075,53.41008494088363,1565467.8855514706,379.65,23599.044,0.0,0.0,-119.31653227192133
BA_PER,5,1,24.85,447.3,241542.0,178920.0,420462.0,116945.05258333334,14045.012916666667,217697.70020833332,8.739896027795062,256169.3464767157,62.125,3861.69,0.0,0.0,-16.2310510442686
BA_PER,6,1,75.69,1362.42,735706.8,544968.0,1280674.8,356200.04145,42779.357249999994,663080.037375,26.62063301182327,780259.8726286765,189.225,11762.226,0.0,0.0,-50.67593057576769
BA_PER,7,3,85.34,1536.12,829504.8,614448.0,1443952.8,401613.3113666667,48233.45683333333,747618.5809166665,30.01459666044389,879738.1097916666,213.35,13261.836000000001,0.0,0.0,-66.2455009171673
BC_BT,4,1,16.4,426.4,341120.0,0.0,341120.0,186739.215,9985.55,154776.025,6.213783447417549,21280.055147058818,41.0,1275.92,0.0,6508.8,-7.910925878056634
BC_BT,5,1,190.27,4947.02,3957616.0,0.0,3957616.0,2166516.490125,115850.64625,1795685.016875,72.09125466708151,246887.56663602937,475.675,14803.006000000001,0.0,2047560.0,-73.69127030656173
BC_BT,6,1,19.72,512.72,410176.0,0.0,410176.0,224542.5195,12007.015,186108.7325,7.471695706285003,25587.968749999996,49.3,1534.2160000000003,0.0,0.0,-5.885763225991605
BC_GTMG,2,2,2.33,60.58,48464.0,0.0,48464.0,26430.442375000002,1446.63875,22422.900625000002,0.9002107965152458,2812.596966911764,5.825,181.27400000000003,0.0,31594.8,-1.1910348848106507
BC_GTMG,3,2,18.11,470.86,376688.0,0.0,376688.0,205431.464125,11244.04625,174282.71687499998,6.996917392657125,21861.000459558818,45.275,1408.958,0.0,245571.6,-9.257356980223554
CS_BT_NIM,4,1,1944.44,143888.56,3050437.4719999996,5027530.730697143,8077968.202697143,4113754.9859988573,24722.165714285715,383193.5685714286,15.38404835985421,4159730.48385294,4833.3222857142855,139999.68,0.0,0.0,389.05911278096454
CS_BT_NIM,5,1,17.69,1309.06,27752.071999999996,45739.14269714286,73491.21469714286,37425.85304885715,224.9157142857143,3486.193571428572,0.13995999644412838,37844.12594852941,43.97228571428572,1273.68,0.0,0.0,6.6659708703831
CS_BT_NIM,6,1,97.14,7188.36,152393.23199999996,251164.51789714285,403557.7498971428,205514.26597885715,1235.0657142857144,19143.518571428573,0.7685536492132634,207811.10201470583,241.4622857142857,6994.08,0.0,0.0,48.069646744564494
CS_BT_NISM,4,1,0.55,32.56,690.272,1156.191268571429,1846.4632685714291,634.3936814285719,6.992857142857144,108.38928571428573,0.004351497910925416,987.7342426470586,1.3671428571428572,39.6,0.0,0.0,0.43760255000000015
CS_CGT_NIM,1,2,238.16,15004.08,346444.2072,565022.4878628572,911466.6950628572,470062.64540114295,3028.034285714286,46934.531428571434,1.88427771357454,490522.39141176466,591.9977142857143,17147.52,0.0,0.0,-1.7812142404005578
CS_EGT_NIM,2,2,1182.15,67382.55,1695344.958,2671811.666228572,4367156.624228572,2295683.589381429,15030.192857142858,232967.9892857143,9.352951373455419,2383429.968529411,2938.4871428571428,85114.8,0.0,0.0,-120.54392832832974
CS_EGT_NISM,2,2,9.5,433.20000000000005,10899.312,17497.050057142857,28396.36205714286,10542.034642857141,120.7857142857143,1872.1785714285716,0.07516223664325719,16640.774191176468,23.614285714285714,684.0,0.0,0.0,-0.9687157459875078
CS_MG_NISM,7,3,181.98,8298.288,136174.90608000002,353625.1998171429,489800.10589714296,205874.38475485722,2313.7457142857147,35863.05857142858,1.4397919815094677,318767.16708529403,452.35028571428575,13102.56,0.0,0.0,-17.20515180193615
CS_NGT_NIM,3,2,1481.81,80017.74,2063657.5145999999,3367112.6292571435,5430770.143857143,2751475.570576858,18840.155714285716,292022.4135714286,11.723805671615256,2955405.7605955875,3683.3562857142856,106690.32,0.0,0.0,-213.3674200691313
CS_NGT_NISM,3,2,17.77,767.664,19798.054559999997,32901.67286857143,52699.72742857144,18807.594869428583,225.93285714285716,3501.959285714286,0.14059294159480845,30988.33732205882,44.171142857142854,1279.44,0.0,0.0,-2.558721465389263
CS_SBT_NIM,5,1,140.78,13726.05,282344.84849999996,504656.8815999999,787001.7300999999,370948.4111653332,2487.113333333333,38550.25666666666,1.5476747562746316,339599.91922794114,403.56933333333336,10136.16,0.0,0.0,100.89095586607756
IG_PLA,1,2,1.8,32.4,48600.0,0.0,48600.0,20513.078999999998,1209.6,18748.8,0.7527069072806472,4591.323529411764,1.8,207.35999999999999,0.0,6300.0,-3.8402682271842603
IG_PLA,2,2,3.13,56.339999999999996,84510.0,0.0,84510.0,35669.965149999996,2103.36,32602.079999999998,1.3088736776602365,7983.801470588234,3.13,360.57599999999996,0.0,29400.0,-6.674078301278701
IG_PLA,3,2,20.61,370.98,556470.0,0.0,556470.0,234874.75454999998,13849.92,214673.76,8.618494088363411,52570.6544117647,20.61,2374.272,0.0,130950.0,-43.94656670586391
IG_PLA,7,3,29.86,537.48,806220.0,0.0,806220.0,340289.1883,20065.92,311021.76,12.486571250777848,76164.95588235294,29.86,3439.872,0.0,0.0,-63.670280535521414
IG_TUT,4,1,39.83,597.4499999999999,1194900.0,0.0,1194900.0,360904.60875,39471.53,611808.715,24.56224642190417,78222.01985294116,39.83,3441.312,0.0,0.0,-85.33515704137366
IG_TUT,5,1,1.25,18.75,37500.0,0.0,37500.0,11326.40625,1238.75,19200.625,0.7708462974486621,2454.8713235294113,1.25,107.99999999999999,0.0,0.0,-2.335950150000001
IG_TUT,6,1,12.48,187.2,374400.0,0.0,374400.0,113082.84,12367.68,191699.03999999998,7.696129433727442,24509.435294117644,12.48,1078.272,0.0,0.0,-23.483116102039382
JA,1,2,128.53,0.0,0.0,25706.0,25706.0,25706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.88393401189323
JA,2,2,243.9,0.0,0.0,48780.0,48780.0,48780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.98489043719397
JA,3,2,868.74,0.0,0.0,173748.0,173748.0,173748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.24903024047666
JA,4,1,249.46,0.0,0.0,49892.0,49892.0,49892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.78310089858158
JA,5,1,215.62,0.0,0.0,43124.0,43124.0,43124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.74595908608589
JA,6,1,26.88,0.0,0.0,5376.0,5376.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.948184270861237
JA,7,3,823.97,0.0,0.0,164794.0,164794.0,164794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.6414090364483
MA_MOBIO,1,2,1.11,19.98,32967.0,0.0,32967.0,3882.78,1385.28,21471.84,0.8620286247666459,334.63235294117646,0.0,0.0,0.0,0.0,-1.1391811340278508
MA_MOBIO,2,2,0.44,7.92,13068.0,0.0,13068.0,1539.12,549.12,8511.36,0.34170504044803984,132.6470588235294,0.0,0.0,0.0,0.0,-0.45156729637140036
MA_MOBIO,3,2,0.11,1.98,3267.0,0.0,3267.0,384.78000000000003,137.28,2127.84,0.08542626011200996,33.16176470588235,0.0,0.0,0.0,0.0,-0.11289182409285009
MA_MOBIO,4,1,0.51,9.18,15147.0,0.0,15147.0,1783.98,636.48,9865.44,0.39606720597386436,153.75,0.0,0.0,0.0,0.0,-0.5283162603212399
MA_MOBIO,5,1,0.48,8.64,14256.0,0.0,14256.0,1679.04,599.04,9285.119999999999,0.37276913503422526,144.70588235294116,0.0,0.0,0.0,0.0,-0.37315045440000016
MA_MOBIO,6,1,3.0700000000000003,55.260000000000005,91179.0,0.0,91179.0,10738.86,3831.36,59386.08000000001,2.3841692594897324,925.5147058823528,0.0,0.0,0.0,0.0,-1.9045131787047014
MA_MOBIO,7,3,1.9900000000000002,35.82,59103.0,0.0,59103.0,6961.02,2483.52,38494.56,1.5454387056627255,599.9264705882352,0.0,0.0,0.0,0.0,-2.042315726770652
MA_PLBIO,1,2,3.0300000000000002,81.81,128850.75000000001,0.0,128850.75000000001,11762.460000000001,5808.51,90031.90500000001,3.6145052893590544,2100.948529411765,0.0,0.0,0.0,39600.00000000001,-3.1320826866574203
