crop,gross_margin
AG,2759.3973233333327
AN_NU,380400.0402666666
AN_PA,3296714.0509999995
BA_INT,9618192.15455
BA_IRR,17305.341249999998
BA_PER,1979595.0249166668
BC_BT,2577798.224625
BC_GTMG,231861.9065
CS_BT_NIM,4356695.105026572
CS_BT_NISM,634.3936814285719
CS_CGT_NIM,470062.64540114295
CS_EGT_NIM,2295683.589381429
CS_EGT_NISM,10542.034642857141
CS_MG_NISM,205874.38475485722
CS_NGT_NIM,2751475.570576858
CS_NGT_NISM,18807.594869428583
CS_SBT_NIM,370948.4111653332
IG_PLA,631346.987
IG_TUT,485313.85500000004
JA,511420.0
MA_MOBIO,26969.579999999998
MA_PLBIO,3450011.04
MA_ROTA,12266857.185897999
MA_TO_CO_JA,16469233.960077
NC,0.0
PN_PIQ,15396645.78
PN_TOUR,2917729.92
VE_BTGT,20570.931279999997
