crop,production_tonnes
AG,9.200000000000001
AN_NU,1091.6
AN_PA,7051.45
BA_INT,41860.35
BA_IRR,63.580000000000005
BA_PER,7571.7
BC_BT,5886.139999999999
BC_GTMG,531.44
CS_BT_NIM,152385.98
CS_BT_NISM,32.56
CS_CGT_NIM,15004.08
CS_EGT_NIM,67382.55
CS_EGT_NISM,433.2
CS_MG_NISM,8298.288
CS_NGT_NIM,80017.73999999999
CS_NGT_NISM,767.664
CS_SBT_NIM,13726.05
IG_PLA,997.1999999999999
IG_TUT,803.4000000000001
JA,0.0
MA_MOBIO,138.78
MA_PLBIO,23995.440000000002
MA_ROTA,23717.88
MA_TO_CO_JA,28469.88
NC,0.0
PN_PIQ,6343.1874
PN_TOUR,1396.7856
VE_BTGT,68.295
