crop,revenue
AG,6440.0
AN_NU,800506.6666666666
AN_PA,5171063.333333333
BA_INT,39960820.34
BA_IRR,60995.66
BA_PER,7117398.0
BC_BT,4708912.0
BC_GTMG,425152.0
CS_BT_NIM,8555017.167291429
CS_BT_NISM,1846.4632685714291
CS_CGT_NIM,911466.6950628571
CS_EGT_NIM,4367156.6242285725
CS_EGT_NISM,28396.362057142855
CS_MG_NISM,489800.1058971429
CS_NGT_NIM,5430770.143857143
CS_NGT_NISM,52699.72742857143
CS_SBT_NIM,787001.7300999998
IG_PLA,1495800.0
IG_TUT,1606800.0
JA,511420.0
MA_MOBIO,228987.0
MA_PLBIO,37792818.0
MA_ROTA,24903774.0
MA_TO_CO_JA,31316868.0
NC,0.0
PN_PIQ,37001926.5
PN_TOUR,6983928.0
VE_BTGT,47806.5
