crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,17356231.34
BA_IRR,26662.460000000003
BA_PER,3028680.0
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,5324434.391291428
CS_BT_NISM,1156.191268571429
CS_CGT_NIM,565022.4878628572
CS_EGT_NIM,2671811.666228572
CS_EGT_NISM,17497.050057142857
CS_MG_NISM,353625.1998171429
CS_NGT_NIM,3367112.629257143
CS_NGT_NISM,32901.67286857143
CS_SBT_NIM,504656.8815999999
IG_PLA,0.0
IG_TUT,0.0
JA,511420.0
MA_MOBIO,0.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
NC,0.0
PN_PIQ,5285989.5
PN_TOUR,0.0
VE_BTGT,0.0
