crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,6,1,0.46,7.36,5152.0,0.0,5152.0,367.2165203333325,226.44266666666667,3509.8613333333333,0.1409101846090023,1180.1209803921565,2.7600000000000002,66.24000000000001,0.0,0.0,-0.5811574680000001
AN_NU,1,2,3.83,61.28,44938.66666666667,0.0,44938.66666666667,6614.90534666667,1677.54,26001.87,1.043895457373989,8670.537990196079,28.08666666666667,492.4103333333334,0.0,0.0,-5.822953451604599
AN_NU,4,1,21.4,342.4,251093.33333333337,0.0,251093.33333333337,36960.56773333335,9373.2,145284.6,5.832731798382079,48446.348039215685,156.93333333333334,2751.3266666666673,0.0,0.0,-32.535562366667996
AN_NU,5,1,26.21,419.36,307530.6666666667,0.0,307530.6666666667,45268.05982666669,11479.98,177939.69,7.143733665214685,59335.45710784313,192.20666666666668,3369.732333333334,0.0,0.0,-39.84846213226019
AN_NU,6,1,3.14,50.24,36842.66666666667,0.0,36842.66666666667,5423.18610666667,1375.3200000000002,21317.46,0.8558307405102676,7108.482843137255,23.02666666666667,403.6993333333334,0.0,0.0,-4.7739096182868
AN_PA,1,2,7.42,207.76,152357.3333333333,0.0,152357.3333333333,62617.058466666655,3235.12,50144.36,2.013142501555694,33187.58676470589,118.72,1592.8266666666668,0.0,0.0,-11.281022091620398
AN_PA,4,1,172.55,4831.4,3543026.6666666665,0.0,3543026.6666666665,1456141.972833333,75231.8,1166092.9,46.8150591163659,771767.9375000002,2760.8,37040.73333333334,0.0,0.0,-262.33697599853093
AN_PA,5,1,21.5,602.0,441466.6666666666,0.0,441466.6666666666,181437.5683333333,9374.0,145297.0,5.8332296204107035,96163.49264705885,344.0,4615.333333333334,0.0,0.0,-32.68759770482999
BA_INT,1,2,26.39,950.04,384766.2,238428.37199999997,623194.5719999999,-449530.941405,41119.7434375,637356.02328125,25.587892618232733,698217.5484375,197.92499999999998,10252.515000000003,0.0,316897.2,4.029672858187694
BA_INT,2,2,80.29,2890.44,1170628.2,725404.092,1896032.292,-1367671.060455,125104.3653125,1939117.66234375,77.8496361621033,2124285.2203125,602.175,31192.665000000008,0.0,1007914.8,11.85387346221152
BA_INT,3,2,153.68,5532.48,2240654.4,1388468.064,3629122.464,-2617806.55836,239457.4525,3711590.51375,149.00899346608588,4066012.6125,1152.6,59704.680000000015,0.0,1865178.0,22.84148937683734
BA_INT,4,1,85.58,3080.88,1247756.4,773198.1839999999,2020954.584,-1457781.6584100001,133347.011875,2066878.6840625,82.97884995332919,2264246.221875,641.85,33247.83000000001,0.0,647490.0,16.39263244160466
BA_INT,5,1,518.57,18668.52,7560750.6,4685176.236,12245926.836,-8833393.720515,808013.0865625,12524202.84171875,502.80839238487863,13720146.8015625,3889.275,201464.44500000007,0.0,6372928.8,150.86075632484454
BA_INT,6,1,42.16,1517.76,614692.8,380907.16799999995,995599.9679999999,-718159.32132,65691.8675,1018223.94625,40.87857342874922,1115454.7875,316.2,16379.160000000005,0.0,0.0,13.91500900702849
BA_INT,7,3,23.56,848.16,343504.8,212859.88799999998,556364.688,-401324.32662,36710.16125,569007.499375,22.843908680771623,623342.38125,176.7,9153.060000000003,0.0,0.0,4.1728339949143916
BA_IRR,1,2,0.27,7.344000000000001,2974.3200000000006,1869.1560000000004,4843.476000000001,-2999.2001931818186,290.4095454545454,4501.347954545454,0.18071533631272274,4538.155127005348,1.62,89.1324,0.0,3661.2,-0.06178295798235006
BA_IRR,2,2,1.4,38.080000000000005,15422.400000000001,9691.920000000002,25114.320000000007,-15551.40840909091,1505.8272727272724,23340.322727272724,0.9370424845844882,23531.17473262032,8.4,462.168,0.0,18984.0,-0.3203560784270004
BA_IRR,3,2,0.2,5.440000000000001,2203.2000000000003,1384.5600000000004,3587.7600000000007,-2221.629772727273,215.11818181818182,3334.331818181818,0.13386321208349833,3361.596390374332,1.2000000000000002,66.024,0.0,2712.0,-0.04576515406100004
