crop,labor_cost
AG,3509.8613333333333
AN_NU,370543.62
AN_PA,1361534.26
BA_INT,22466377.17078125
BA_IRR,31176.002499999995
BA_PER,3685092.056041666
BC_BT,2136569.774375
BC_GTMG,196705.6175
CS_BT_NIM,405823.28071428573
CS_BT_NISM,108.38928571428573
CS_CGT_NIM,46934.531428571434
CS_EGT_NIM,232967.98928571428
CS_EGT_NISM,1872.1785714285718
CS_MG_NISM,35863.05857142858
CS_NGT_NIM,292022.4135714286
CS_NGT_NISM,3501.959285714286
CS_SBT_NIM,38550.25666666666
IG_PLA,577046.4
IG_TUT,822708.38
JA,0.0
MA_MOBIO,149142.24
MA_PLBIO,26406981.72
MA_ROTA,11253475.23
MA_TO_CO_JA,13826871.72
NC,0.0
PN_PIQ,18770068.169999998
PN_TOUR,1473414.81
VE_BTGT,26447.278000000002
