crop,revenue
AG,5152.0
AN_NU,640405.3333333334
AN_PA,4136850.6666666665
BA_INT,21967195.404
BA_IRR,33545.55600000001
BA_PER,3906997.1999999997
BC_BT,3767129.5999999996
BC_GTMG,340121.60000000003
CS_BT_NIM,4840477.982288457
CS_BT_NISM,1045.3731803428573
CS_CGT_NIM,513899.8488713143
CS_EGT_NIM,2458338.667961143
CS_EGT_NISM,15996.612370285715
CS_MG_NISM,255123.7392630857
CS_NGT_NIM,3044398.6282662856
CS_NGT_NISM,29566.18172434286
CS_SBT_NIM,444256.99642800004
IG_PLA,1196640.0
IG_TUT,1285440.0
JA,306852.0
MA_MOBIO,183189.6
MA_PLBIO,30234254.400000002
MA_ROTA,19923019.200000003
MA_TO_CO_JA,25053494.400000002
NC,0.0
PN_PIQ,28544343.299999997
PN_TOUR,5587142.4
VE_BTGT,38245.200000000004
