farm,revenue
E1,18257.304130285716
E10,29492.292
E100,86466.972
E1000,18856.954112
E1001,3431.8461659428576
E1002,55196.10898217143
E1003,9425.400000000001
E1004,24151.043999999998
E1005,15782.400000000001
E1006,210924.0
E1007,22116.78
E1008,13489.5567408
E1009,5703.3
E101,32996.7
E1010,35461.907999999996
E1011,57080.16
E1012,1925914.663149257
E1013,13237.054410971428
E1014,831.6
E1015,28300.48023085714
E1016,10594.5
E1017,24235.199999999997
E1018,46190.466666666674
E1019,40624.740000000005
E102,6326.099999999999
E1020,50034.888
E1021,7357.314040685714
E1022,73029.6
E1023,17005.820911542858
E1024,31319.46
E1025,6182.0242578285715
E1026,20879.100000000002
E1027,50608.8
E1028,86965.20000000001
E1029,16642.103325257143
E103,10773.6
E1030,1997.9926308571428
E1031,25986.6
E1032,63993.600000000006
E1033,8108.1
E1034,18475.555386514287
E1035,18635.4
E1036,807703.7531233523
E1037,15043.709220571429
E1038,14511.518443885714
E1039,18643.70922057143
E104,28004.541037714287
E1040,25129.062921752382
E1041,198196.19999999998
E1042,11873.904222171428
E1043,14122.8
E1044,67795.2
E1045,30131.523759542855
E1046,2303.5679744
E1047,25491.448515657143
E1048,26653.32
E1049,69350.4
E105,48086.13333333333
E1050,35243.22
E1051,3149.776618057143
E1052,6712.2
E1053,34843.57542308571
E1054,758556.0
E1055,51356.94779702857
E1056,6417.0822144
E1057,119044.99866666667
E1058,16384.2
E1059,14883.744
E106,23021.1
E1060,21318.0
E1061,5656.479665371428
E1062,11434.5
E1063,3419.6675314285717
E1064,11672.1
E1065,25632.9
E1066,7662.6
E1067,26073.0
E1068,28096.2
E1069,7741.8
E107,17490.972
E1070,23314.5
E1071,9781.2
E1072,9423.0
E1073,14179.2
E1074,5910.3
E1075,12681.9
E1076,5286.599999999999
E1077,11790.900000000001
E1078,10335.6
E1079,26908.5
E108,16500.522874285714
E1080,7000.499999999999
E1081,9147.6
E1082,12579.300000000001
E1083,17203.8
E1084,7827.6
E1085,16240.5
E1086,1453.2
E1087,10954.8
E1088,4122.0
E1089,15828.0
E109,25065.9
E1090,4306.5
E1091,14074.92
E1092,14554.8
E1093,23789.7
E1094,4722.3
E1095,5494.5
E1096,13365.306608914285
E1097,7335.9
E1098,9409.5
E1099,3636.4888697142856
E11,24848.80918285714
E110,8599.577022857144
E1100,30831.83004342857
E1101,6731.400000000001
E1102,6136.200000000001
E1103,10718.133185142857
E1104,7246.8
E1105,9169.2
E1106,7009.2
E1107,7386.6
E1108,27791.445333333333
E1109,26649.6
E111,8956.5
E1110,11309.4
E1111,3241.557562285714
E1112,214038.18
E1113,3623.3999999999996
E1114,3824.1
E1115,6237.0
E1116,10810.8
E1117,2970.0
E1118,17641.8
E1119,19126.8
E112,34416.0
E1120,19305.0
E1121,10953.0
E1122,120768.84
E1123,13246.2
E1124,8164.26
E1125,19593.359999999997
E1126,1574.8883090285715
E1127,21835.836
E1128,6446.4
E1129,394125.3
E113,29800.188000000002
E1130,1398.0
E1131,24573.36
E1132,95133.07177691428
E1133,71206.444
E1134,308231.192
E1135,13925.037696
E1136,26144.1
E1137,96298.47600000001
E1138,8937.560156571428
E1139,16453.8
E114,35050.78115314285
E1140,6840.186536228572
E1141,21274.8
E1142,23458.243529142856
E1143,71618.4
E1144,180816.59999999998
E1145,4515.6
E1146,18071.32709584762
E1147,1433.8535350857144
E1148,7611.3
E1149,6992.7
E115,28422.899999999998
E1150,19688.75686034286
E1151,68488.2
E1152,4688.034574628571
E1153,30412.8
E1154,15547.68
E1155,5386.5
E1156,3340.8
E1157,12097.822037828571
E1158,5218.2866358857145
E1159,116953.2
E116,28964.4
E1160,133037.76
E1161,47695.5
E1162,11231.184000000001
E1163,8048.700000000001
E1164,8814.6
E1165,4533.416483657143
E1166,11696.571507085715
E1167,11127.78
E1168,10989.0
E1169,243979.2
E117,32640.3
E1170,3585.6
E1171,2249.2120073142855
E1172,10901.1
E1173,4207.695269142858
E1174,9567.900000000001
E1175,7579.8
E1176,3564.0
E1177,6034.153322057142
E1178,2580.3
E1179,139075.19999999998
E118,5176.5
E1180,3163.9507679999997
E1181,12085.5
E1182,2079.0
E1183,13964.400000000001
E1184,32275.666642285716
E1185,13471.2
E1186,7845.158579657143
E1187,7959.6
E1188,2370.6856841142853
E1189,44487.347624152375
E119,18964.52253257143
E1190,236102.4
E1191,34514.7
E1192,9325.8
E1193,13347.0
E1194,5760.350302628571
E1195,2433.0721494857144
E1196,2474.6631264
E1197,28870.03337874286
E1198,12990.467675428572
E1199,175805.62887862857
E12,6401.579139428572
E120,19423.800000000003
E1200,34202.52
E1201,15903.051264
E1202,3102.7650267428576
E1203,15591.96
E1204,45430.98
E1205,493.62170879999996
E1206,16218.999003428573
E1207,7427.831427657143
E1208,0.0
E1209,4348.572196571429
E121,9712.2
E1210,4348.572196571428
E1211,3666.9041225142855
E1212,8508.677792914286
E1213,13568.7
E1214,3886.8
E1215,2419.2
E1216,152009.82
E1217,157172.61923840002
E1218,3760.927305142857
E1219,8462.08643657143
E122,20819.7
E1220,543980.7999999999
E1221,27706.893228
E1222,5617.115028
E1223,119023.04400000001
E1224,3314.3171876571428
E1225,5355.9
E1226,2961.7302528
E1227,40922.991501409524
E1228,116120.42291687618
E1229,4442.5953792
E123,612376.152
E1230,2938.2244571428573
E1231,9107.1
E1232,68545.44
E1233,18945.671299657144
E1234,3008.741844114286
E1235,5784.970722742857
E1236,6021.9
E1237,13447.8
E1238,7853.924556800001
E1239,4607.1359488
E124,12845.7
E1240,6289.2
E1241,1292.8187611428573
E1242,8960.953136457143
E1243,26146.88546102857
E1244,6245.720996571429
E1245,4936.217088
E1246,13587.838398171429
E1247,176090.13333333333
E1248,2632.6491136000004
E1249,528.0
E125,39822.3
E1250,10953.6
E1251,8864.1
E1252,5171.275044571429
E1253,3826.5
E1254,14497.157258971429
E1255,21403.0
E1256,38700.16452845714
E1257,7520.9400000000005
E1258,26841.178868114286
E1259,3337.8229833142855
E126,11880.0
E1260,7417.8
E1261,27056.999999999996
E1262,2656.1549092571427
E1263,23065.434574628573
E1264,7404.7710480000005
E1265,15234.516589714287
E1266,19390.884000000002
E1267,15408.576717714286
E1268,2506.5064525714283
E1269,6675.645966628571
E127,5553.9
E1270,2701.2000000000003
E1271,30984.217957714285
E1272,5900.262956571429
