crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,8404442.003999999
BA_IRR,12945.636000000002
BA_PER,1453766.4
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,2597356.356688457
CS_BT_NISM,566.0899803428573
CS_CGT_NIM,276025.16455131426
CS_EGT_NIM,1306366.593161143
CS_EGT_NISM,8590.625170285715
CS_MG_NISM,173418.79561508572
CS_NGT_NIM,1646168.6395062855
CS_NGT_NISM,16152.020988342856
CS_SBT_NIM,247397.987328
IG_PLA,0.0
IG_TUT,0.0
JA,306852.0
MA_MOBIO,0.0
MA_PLBIO,0.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
NC,0.0
PN_PIQ,3171593.6999999997
PN_TOUR,0.0
VE_BTGT,0.0
