crop,gross_margin
AG,367.2165203333325
AN_NU,45319.87370666669
AN_PA,1713108.2033333331
BA_INT,-16021970.930910002
BA_IRR,-20216.830931818185
BA_PER,-2777322.670613333
BA_SINT,-6861.015339090912
BC_BT,1034807.3311875002
BC_GTMG,53941.29048749999
CS_BT_NIM,49333.56239057139
CS_CGT_NIM,5815.505740200035
CS_EGT_NIM,60584.620432542746
CS_NGT_NIM,-48570.89064462892
CS_SBT_NIM,-29033.838850666696
IG_PLA,68209.12780499992
IG_TUT,-155680.7827500001
JA,316078.8
MA_MOBIO,-29671.487999999994
MA_PLBIO,-13780271.82
MA_ROTA,3663325.297762896
MA_TO_CO_JA,5817389.236703597
NC,0.0
PN_PIQ,461874.69999999914
PN_TOUR,301039.8879999996
VE_BTGT,2772.6579733333347
