crop,revenue
AG,5152.0
AN_NU,307882.6666666667
AN_PA,4168266.6666666665
BA_INT,22211608.584
BA_IRR,32648.616000000005
BA_PER,4380963.84
BA_SINT,8882.616
BC_BT,3911232.0
BC_GTMG,206502.4
CS_BT_NIM,4751038.429813029
CS_CGT_NIM,514611.9203784
CS_EGT_NIM,2456633.4379076567
CS_NGT_NIM,3136707.919179429
CS_SBT_NIM,438008.74488
IG_PLA,1120392.0
IG_TUT,1160160.0
JA,316078.8
MA_MOBIO,68428.8
MA_PLBIO,28910196.0
MA_ROTA,20882383.2
MA_TO_CO_JA,25340198.4
NC,0.0
PN_PIQ,28818652.5
PN_TOUR,5586307.2
VE_BTGT,37352.00000000001
