farm,revenue
E1,18257.304130285716
E10,32268.564
E100,86466.972
E1000,18856.954112
E1001,3431.8461659428576
E1002,55627.80344487619
E1003,12372.0
E1004,24151.043999999998
E1005,9934.2
E1006,210924.0
E1007,21864.06
E1008,13489.5567408
E1009,5703.3
E101,32996.7
E1010,24987.336
E1011,41154.48
E1012,1908987.463149257
E1013,13237.054410971428
E1014,831.6
E1015,28360.180230857142
E1016,8802.0
E1017,24629.94
E1018,45846.0
E1019,40624.740000000005
E102,6326.099999999999
E1020,50291.388
E1021,7357.314040685714
E1022,73029.6
E1023,17005.820911542858
E1024,32617.079999999998
E1025,6182.0242578285715
E1026,20879.100000000002
E1027,50608.8
E1028,86169.6
E1029,16642.103325257143
E103,11499.0
E1030,1997.9926308571428
E1031,17087.4
E1032,63993.600000000006
E1033,8108.1
E1034,18475.555386514287
E1035,19152.6
E1036,793566.6987910095
E1037,15043.709220571429
E1038,14511.518443885714
E1039,18643.70922057143
E104,32464.8
E1040,24048.0
E1041,197772.3
E1042,23494.798526171428
E1043,10453.800000000001
E1044,67795.2
E1045,30131.523759542855
E1046,2303.5679744
E1047,25528.613741714285
E1048,26749.44
E1049,69350.4
E105,49710.072
E1050,35395.968
E1051,3149.776618057143
E1052,6712.2
E1053,34843.57542308571
E1054,860291.9999999999
E1055,51299.347797028575
E1056,6417.0822144
E1057,134599.132
E1058,20765.699999999997
E1059,14636.16
E106,23021.1
E1060,23674.2
E1061,5656.479665371428
E1062,11434.5
E1063,3419.6675314285717
E1064,11672.1
E1065,25640.1
E1066,7662.6
E1067,24759.9
E1068,28096.2
E1069,7741.8
E107,20570.22
E1070,23314.5
E1071,9781.2
E1072,9423.0
E1073,14179.2
E1074,5910.3
E1075,12681.9
E1076,5286.599999999999
E1077,11790.900000000001
E1078,10335.6
E1079,20401.8
E108,16436.438818285715
E1080,7000.499999999999
E1081,9147.6
E1082,13470.0
E1083,18169.8
E1084,8655.6
E1085,16240.5
E1086,1453.2
E1087,10830.202697142857
E1088,4122.0
E1089,15828.0
E109,25065.9
E1090,4306.5
E1091,13786.92
E1092,14554.8
E1093,23789.7
E1094,4722.3
E1095,5494.5
E1096,13383.115632
E1097,7335.9
E1098,7942.800000000001
E1099,3636.4888697142856
E11,24119.54892342857
E110,16399.5
E1100,29217.10836342857
E1101,6731.400000000001
E1102,6136.200000000001
E1103,10221.476681142856
E1104,7246.8
E1105,9169.2
E1106,7009.2
E1107,9216.9
E1108,34591.111999999994
E1109,16548.300000000003
E111,12016.8
E1110,11309.4
E1111,3241.557562285714
E1112,214038.18
E1113,3623.3999999999996
E1114,3824.1
E1115,6237.0
E1116,10810.8
E1117,2970.0
E1118,17641.8
E1119,19126.8
E112,33737.256
E1120,19305.0
E1121,10953.0
E1122,125220.6
E1123,13246.2
E1124,8164.26
E1125,19593.359999999997
E1126,1574.8883090285715
E1127,22519.836
E1128,6446.4
E1129,398666.7
E113,27067.728
E1130,1398.0
E1131,24573.36
E1132,93707.22688548571
E1133,63745.36666666667
E1134,300350.316
E1135,13925.037696
E1136,26144.1
E1137,93680.724
E1138,8937.560156571428
E1139,16453.8
E114,34125.581153142855
E1140,6840.186536228572
E1141,21274.8
E1142,23458.243529142856
E1143,70963.2
E1144,178515.9
E1145,4515.6
E1146,16550.401032
E1147,1433.8535350857144
E1148,7611.3
E1149,4097.099999999999
E115,28422.899999999998
E1150,19688.75686034286
E1151,70107.3
E1152,4688.034574628571
E1153,30412.8
E1154,15547.68
E1155,7485.0
E1156,3340.8
E1157,12097.822037828571
E1158,5218.2866358857145
E1159,115315.2
E116,27065.4
E1160,134440.5
E1161,47695.5
E1162,11231.184000000001
E1163,8048.700000000001
E1164,8817.3
E1165,4533.416483657143
E1166,8354.7
E1167,11127.78
E1168,10989.0
E1169,285336.0
E117,32640.3
E1170,3585.6
E1171,2249.2120073142855
E1172,12664.5
E1173,4207.695269142858
E1174,9567.900000000001
E1175,7579.8
E1176,3564.0
E1177,6034.153322057142
E1178,2580.3
E1179,139075.19999999998
E118,2377.2000000000003
E1180,3163.9507679999997
E1181,14496.899999999998
E1182,2079.0
E1183,13964.400000000001
E1184,32275.666642285716
E1185,12769.8
E1186,7845.158579657143
E1187,7959.6
E1188,2370.6856841142853
E1189,46667.35513500952
E119,15070.57692
E1190,241027.19999999998
E1191,34600.2
E1192,9325.8
E1193,13347.0
E1194,5760.350302628571
E1195,2433.0721494857144
E1196,2474.6631264
E1197,28965.329056914285
E1198,13848.499800685713
E1199,172281.6
E12,6401.579139428572
E120,19423.800000000003
E1200,34202.52
E1201,15903.051264
E1202,3102.7650267428576
E1203,15510.96
E1204,45630.48
E1205,493.62170879999996
E1206,16631.94694217143
E1207,7427.831427657143
E1208,0.0
E1209,4348.572196571429
E121,9712.2
E1210,4348.572196571428
E1211,3666.9041225142855
E1212,8508.677792914286
E1213,15137.1
E1214,3886.8
E1215,2419.2
E1216,151722.72
E1217,163167.3
E1218,3760.927305142857
E1219,8462.08643657143
E122,20819.7
E1220,560990.4
E1221,27706.893228
E1222,5617.115028
E1223,92205.18
E1224,3314.3171876571428
E1225,5355.9
E1226,2961.7302528
E1227,40732.40014506666
E1228,116120.42291687618
E1229,4442.5953792
E123,619927.5
E1230,2938.2244571428573
E1231,8302.8
E1232,68734.98
E1233,19676.27149897143
E1234,3008.741844114286
E1235,5784.970722742857
E1236,6021.9
E1237,15466.375343542857
E1238,7853.924556800001
E1239,4607.1359488
E124,12510.84
E1240,5652.9
E1241,1292.8187611428573
E1242,8647.419836342857
E1243,26365.8
E1244,4910.474564571428
E1245,4936.217088
E1246,13587.838398171429
E1247,176090.13333333333
E1248,2632.6491136000004
E1249,528.0
E125,37129.2
E1250,10953.6
E1251,8864.1
E1252,5171.275044571429
E1253,3826.5
E1254,14497.157258971429
E1255,27535.263386819046
E1256,36994.10097554285
E1257,7520.9400000000005
E1258,26841.178868114286
E1259,3337.8229833142855
E126,11880.0
E1260,7332.6
E1261,35019.299999999996
E1262,2656.1549092571427
E1263,24089.7
E1264,5957.7
E1265,15234.516589714287
E1266,19390.884000000002
E1267,15729.300000000001
E1268,2506.5064525714283
E1269,6675.645966628571
E127,5553.9
E1270,2701.2000000000003
E1271,30993.37282285714
E1272,6371.099999999999
E1273,43382.191155428576
E1274,12840.900000000001
E1275,0.0
E1276,2995.2
E1277,19495.430965714284
E1278,14890.825333028573
E1279,48716.40000000001
E128,4006.032
E1280,6258.051861942858
E1281,3657.034004571429
E1282,5848.8
E1283,171.6
E1284,20054.7
E1285,4207.537422628571
E1286,2258.775384
E1287,2075.0586205714285
E1288,8932.202349714285
E1289,14888.34
E129,10439.400000000001
E1290,1527.6000000000001
E1291,15255.261381485714
E1292,3744.0
E1293,56.4
E1294,5163.599999999999
E1295,8844.3
E1296,3970.7999999999997
E1297,52.8
E1298,1621.899900342857
E1299,2284.2
E13,66460.5
E130,9486.9
E1300,14860.8
E1301,8067.0
E1302,15241.5
E1303,27461.43052114286
E1304,29858.94
E1305,23497.542122057144
E1306,19013.59920274286
E1307,2676.0
E1308,1621.899900342857
E1309,1482.0
E131,24057.0
E1310,80.4
E1311,4129.2
E1312,2946.9
E1313,108.0
E1314,19820.7
E1315,102.0
E1316,5092.5
E1317,1552.8
E1318,35481.600000000006
E1319,9539.1
E132,18324.9
E1320,1384.8
E1321,10246.5
E1322,94.80000000000001
E1323,1042.8000000000002
E1324,26265.059999999998
E1325,240.0
E1326,1747.2
E1327,4016.4
E1328,2373.571690285715
E1329,17222.4
E133,26385.3
E1330,3171.9548952
E1331,6147.9
E1332,6480.4315104
E1333,35124.55104
E1334,78250.644
E1335,34125.28525028571
E1336,42429.6
E1337,14854.764970285714
E1338,20688.3
E1339,12960.478217142856
E134,18621.9
E1340,15333.576339428571
E1341,14920.001194285713
E1342,42163.632
E1343,17556.61925485714
E1344,10330.55592342857
E1345,28592.666666666668
E1346,17217.0
E1347,25913.699999999997
E1348,19602.0
E1349,64379.700000000004
E135,15894.9
E1350,28752.3
E1351,12557.581813028572
E1352,6975.212247428572
E1353,13360.199999999999
E1354,2403.780778285714
E1355,20005.2
E1356,65174.4
E1357,6355.8
E1358,7064.099999999999
E1359,11784.6
E136,47703.6
E1360,5500.8
E1361,769.2
E1362,9589.199999999999
E1363,5847.6
E1364,4215.9
E1365,4909.2
E1366,6327.3
E1367,1850.7984726857142
E1368,1920.4352766857144
E1369,2876.7000000000003
E137,17847.915363428572
E1370,8546.945755885714
E1371,71186.976
E1372,56707.20000000001
E1373,16341.036742285714
