region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,23.78,22.85,2456.989247311828,False
1,BA,8.63,35.16,26.529999999999994,307.4159907300115,False
1,BC,6.83,0.44999999999999996,6.38,93.41142020497804,False
1,CS,775.8,240.59,535.2099999999999,68.98814127352409,False
1,IG,20.33,0.55,19.779999999999998,97.29463846532218,False
1,JA,23.62,216.52,192.9,816.6807790008467,False
1,MA,40.6,43.58,2.979999999999997,7.339901477832504,True
1,PN,604.53,934.99,330.46000000000004,54.6639538153607,False
1,VE,17.67,0.0,17.67,100.0,False
1,TOTAL,1500.3600000000001,1495.62,1156.1799999999998,77.06017222533256,False
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,111.16,109.84,8321.21212121212,False
2,BC,18.47,3.55,14.919999999999998,80.7796426637791,False
2,CS,2151.11,1204.79,946.3200000000002,43.99217148355965,False
2,IG,36.1,1.22,34.88,96.62049861495846,False
2,JA,52.29,374.34,322.04999999999995,615.8921399885255,False
2,MA,367.53,386.68,19.150000000000034,5.210459010148841,True
2,ME,10.03,0.0,10.03,100.0,False
2,PN,1725.19,2296.63,571.44,33.12330815736238,False
2,VE,38.54,0.0,38.54,100.0,False
2,TOTAL,4403.72,4378.37,2070.3100000000004,47.012752854404916,False
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,163.06,3.6299999999999955,2.276861318446964,True
3,BC,4.07,6.37,2.3,56.5110565110565,False
3,CS,4019.76,1378.11,2641.6500000000005,65.7166099468625,False
3,IG,38.81,17.0,21.810000000000002,56.19685648028858,False
3,JA,219.81,1332.54,1112.73,506.22355670806604,False
3,MA,176.24,304.03000000000003,127.79000000000002,72.50907852927827,False
3,ME,179.33,0.0,179.33,100.0,False
3,PN,1298.81,2875.11,1576.3000000000002,121.36494175437518,False
3,VE,51.76,0.0,51.76,100.0,False
3,TOTAL,6148.639999999999,6076.219999999999,5717.920000000001,92.99487366311902,False
4,AG,14.95,0.0,14.95,100.0,False
4,AN,121.55,215.0,93.45,76.88194158782395,False
4,BA,102.1,117.11,15.010000000000005,14.70127326150833,True
4,BC,27.34,14.96,12.379999999999999,45.28163862472568,False
4,CS,3256.9,1924.42,1332.48,40.91252417943443,False
4,IG,32.25,84.18,51.93000000000001,161.0232558139535,False
4,JA,69.72,373.96,304.24,436.37406769936894,False
4,MA,165.87,260.26,94.38999999999999,56.90601073129558,False
4,PN,634.92,1420.63,785.7100000000002,123.74944874944877,False
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4410.52,2758.15,61.57670660674538,False
5,AG,37.66,0.0,37.66,100.0,False
5,AN,7.75,68.89,61.14,788.9032258064516,False
5,BA,1427.01,523.31,903.7,63.328217741992,False
5,BC,81.31,108.58,27.269999999999996,33.53831017095067,False
5,CS,318.72,157.1,161.62000000000003,50.709086345381536,False
5,IG,5.26,1.7,3.5599999999999996,67.680608365019,False
5,JA,190.46,213.21,22.75,11.944765305050929,True
5,MA,75.74,756.28,680.54,898.5212569316081,False
5,PN,208.62,553.33,344.71000000000004,165.2334387882274,False
5,VE,48.49,3.92,44.57,91.91585893998763,False
5,TOTAL,2401.0199999999995,2386.32,2287.52,95.27284237532383,False
6,AG,44.27,0.46,43.81,98.96092161734808,False
6,AN,0.04,0.49,0.45,1125.0,False
6,BA,222.31,95.00999999999999,127.30000000000001,57.26238135936306,False
6,BC,8.28,39.9,31.619999999999997,381.88405797101444,False
6,CS,104.55,97.28,7.269999999999996,6.95361071257771,True
6,IG,4.65,18.84,14.19,305.1612903225806,False
6,JA,51.83,22.38,29.45,56.82037430059811,False
6,MA,202.25,472.4,270.15,133.57231149567366,False
6,PN,280.28,248.3,31.97999999999996,11.410018552875684,True
6,VE,94.77,0.0,94.77,100.0,False
6,TOTAL,1013.2299999999999,995.06,650.99,64.248985916327,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,95.78,95.78,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,79.17,2106.92,96.37846566243842,False
7,IG,8.02,27.150000000000002,19.130000000000003,238.52867830423943,False
7,JA,13.74,1155.93,1142.19,8312.882096069869,False
7,MA,58.74,37.78,20.96,35.682669390534556,False
7,PN,1357.08,2198.4,841.3200000000002,61.994871341409514,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3594.21,4234.4400000000005,116.59310371412602,False
