crop,production_tonnes
AG,9.200000000000001
AN_NU,1444.4
AN_PA,8257.9
BA_INT,39523.5
BA_IRR,30.6
BA_PER,4705.0199999999995
BC_BT,4249.44
BC_GTMG,269.62
CS_BT_NIM,150936.32
CS_CGT_NIM,15157.17
CS_EGT_NIM,68673.03
CS_MG_NISM,3610.152
CS_NGT_NIM,74417.93999999999
CS_SBT_NIM,13564.2
IG_PLA,826.5600000000001
IG_TUT,1570.8
JA,0.0
MA_MOBIO,95.58000000000001
MA_PLBIO,25576.829999999998
MA_ROTA,20079.9
MA_TO_CO_JA,33716.159999999996
NC,0.0
PN_PIQ,6690.941400000001
PN_TOUR,280.512
VE_BTGT,56.839999999999996
