name,policy,forcing,status,objective,marge_brute,subventions,etp,production_t,surface_ha,azote_kg,ift,ges_tco2,eau_m3,autonomie_min,hhi_revenu,pad_vs_2017,allocated_plots,duration_s,output_dir,error
P10_bifurcation_agroecologique,P10_bifurcation_agroecologique,,error,,,,,,,,,,,,,,,,,RuntimeError: Solver 'appsi_highs' terminated with 'maxTimeLimit' and no loadable solution (no incumbent found within the time limit)
P4_statu_quo__F0_nominal,P4_statu_quo,F0_nominal,maxTimeLimit,80468932.3087082,97521961.08,71196532.42,3442.23,909292.3,25990.78,1906967.8,65879.98,141619896.11,33934600.8,0.03,0.11,6.43,24506,3660.2,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p4_statu_quo_f0_nominal,
P4_statu_quo__F1_cyclone_majeur,P4_statu_quo,F1_cyclone_majeur,optimal,45936775.394036695,48423204.4,26457600.17,3399.99,523332.22,26031.29,1179550.43,47802.94,126682478.82,34228402.8,0.04,0.11,37.37,24596,2904.2,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p4_statu_quo_f1_cyclone_majeur,
P4_statu_quo__F6_choc_intrants,P4_statu_quo,F6_choc_intrants,optimal,43276165.06767619,59774586.81,39449912.76,3400.01,886820.35,25907.79,1432350.54,66999.92,97110017.02,39703276.8,0.04,0.16,25.46,24420,2665.1,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p4_statu_quo_f6_choc_intrants,
P4_statu_quo__F9_crise_systemique,P4_statu_quo,F9_crise_systemique,optimal,24458106.788680684,-16990009.52,13362291.56,3737.89,478292.06,20710.79,748383.75,34299.64,81820730.76,43461932.4,0.03,0.2,47.17,19065,3620.9,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p4_statu_quo_f9_crise_systemique,
P6_verdissement_incitatif__F0_nominal,P6_verdissement_incitatif,F0_nominal,maxTimeLimit,57191547.80916877,68307227.25,40189507.52,2149.64,657138.24,21217.35,1153601.98,43534.68,102981331.88,14116962.0,0.03,0.1,24.08,18662,3701.2,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p6_verdissement_incitatif_f0_nominal,
P6_verdissement_incitatif__F6_choc_intrants,P6_verdissement_incitatif,F6_choc_intrants,optimal,47227356.90704559,69591903.81,40619429.67,3872.73,941321.61,26105.42,1613592.27,79541.11,100898023.95,42597610.8,0.04,0.19,26.1,24668,827.2,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p6_verdissement_incitatif_f6_choc_intrants,
P7_ecophyto_reglementaire__F0_nominal,P7_ecophyto_reglementaire,F0_nominal,optimal,72296286.48057155,83048096.57,56585129.54,2954.02,717603.4,25847.12,1446770.63,46861.5,132315860.59,38144065.2,0.02,0.1,30.02,24397,1333.7,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p7_ecophyto_reglementaire_f0_nominal,
P7_ecophyto_reglementaire__F6_choc_intrants,P7_ecophyto_reglementaire,F6_choc_intrants,optimal,39069519.464372665,41339250.12,39228327.56,2101.36,816658.42,25909.97,1083767.52,46841.11,91320360.57,25161765.6,0.02,0.12,31.25,24450,929.1,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p7_ecophyto_reglementaire_f6_choc_intrants,
P8_transition_agroecologique__F0_nominal,P8_transition_agroecologique,F0_nominal,maxTimeLimit,68445374.2437177,80761449.11,39047201.47,4199.98,488044.42,26074.85,1351622.64,40167.6,170443445.8,27699931.2,0.04,0.13,73.55,24625,3643.2,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p8_transition_agroecologique_f0_nominal,
P8_transition_agroecologique__F9_crise_systemique,P8_transition_agroecologique,F9_crise_systemique,maxTimeLimit,-1506115.5081190849,-19790264.65,19621642.01,4199.98,390435.54,26074.85,1351622.64,40167.6,166918540.6,27699931.2,0.03,0.13,73.55,24625,3629.3,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p8_transition_agroecologique_f9_crise_systemique,
P9_souverainete_alimentaire__F0_nominal,P9_souverainete_alimentaire,F0_nominal,optimal,81007453.7634214,128192824.49,34935002.64,4388.67,849753.77,26082.67,1837134.17,82618.99,153235746.86,55725019.2,0.05,0.18,34.14,24645,1135.7,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p9_souverainete_alimentaire_f0_nominal,
P9_souverainete_alimentaire__F7_inflation_alimentaire,P9_souverainete_alimentaire,F7_inflation_alimentaire,optimal,122447677.0098134,213141309.36,29917565.71,4356.56,846189.6,26011.29,1817090.99,85694.98,139395730.63,63863541.6,0.14,0.2,37.48,24544,1495.1,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p9_souverainete_alimentaire_f7_inflation_alimentaire,
P9_souverainete_alimentaire__F9_crise_systemique,P9_souverainete_alimentaire,F9_crise_systemique,optimal,31468573.063762695,-32204923.76,3578583.5,5158.88,180163.15,18245.03,408860.14,24453.98,105789990.43,57152991.6,0.05,0.2,84.78,19318,3032.6,C:\Users\Clément\Desktop\CODE\claude_mosaica_workspace\outputs\p9_souverainete_alimentaire_f9_crise_systemique,
