crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,91.36,9.480000000000004,9.401031336771126,True
AN,132.67000000000002,507.24,374.57,282.3321022084872,False
BA,1920.8,2213.12,292.31999999999994,15.218658892128277,False
BC,147.21,247.26,100.04999999999998,67.96413287140818,False
CS,12812.93,15425.23,2612.2999999999993,20.38799868570264,False
IG,145.42,289.35,143.93000000000004,98.97538165314265,False
JA,621.47,427.49,193.98000000000002,31.2130915410237,False
MA,1086.97,1240.27,153.29999999999995,14.10342511752854,True
ME,189.36,4.39,184.97000000000003,97.68166455428815,False
PN,6109.43,2979.92,3129.51,51.22425496322897,False
VE,310.89,33.22,277.66999999999996,89.31454855415097,False
TOTAL,23577.99,23458.85,7472.08,31.690911735902848,False
