crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,8.83,176.6,123620.0,0.0,123620.0,52968.43122833332,4346.714666666667,67374.07733333333,2.704862891516283,22653.19186274509,52.980000000000004,1271.52,0.0,105960.0,-12.118344668027996
AG,5,1,46.300000000000004,926.0,648200.0,0.0,648200.0,277739.3392833333,22791.946666666667,353275.17333333334,14.18291640738436,118781.7421568627,277.8,6667.200000000001,0.0,90960.0,-57.75225793863301
AG,6,1,36.23,724.6,507220.0,0.0,507220.0,217332.53266166663,17834.821333333333,276439.73066666664,11.098208670400332,92947.35460784311,217.38,5217.12,0.0,0.0,-43.984593457065
AN_NU,1,2,0.8300000000000001,16.6,12173.333333333332,0.0,12173.333333333332,5784.756933333332,363.53999999999996,5634.87,0.22622277535780957,1878.9938725490197,6.086666666666667,106.71033333333335,0.0,0.0,-1.2618933067445997
AN_NU,4,1,46.71,934.2,685080.0,0.0,685080.0,325549.3932,20458.98,317114.19,12.73116365899191,105744.3419117647,342.54,6005.349000000001,0.0,0.0,-71.01570645547018
AN_NU,5,1,5.74,114.8,84186.66666666667,0.0,84186.66666666667,40005.42746666667,2514.12,38968.86,1.564480398257623,12994.487745098038,42.093333333333334,737.9726666666668,0.0,0.0,-8.726828410498799
AN_NU,6,1,16.689999999999998,333.8,244786.66666666666,0.0,244786.66666666666,116322.40146666665,7310.22,113308.41,4.5489856876166765,37783.623774509804,122.39333333333335,2145.7776666666673,0.0,0.0,-25.374697939237794
AN_PA,1,2,25.46,891.1,653473.3333333333,0.0,653473.3333333333,416609.61799999996,11100.56,172058.68,6.907629122588674,113875.46617647063,407.36,5465.413333333334,0.0,0.0,-38.70819709604519
AN_PA,4,1,344.8,12068.0,8849866.666666666,0.0,8849866.666666666,5642065.839999999,150332.8,2330158.4,93.54872433105164,1542194.0588235299,5516.8,74017.06666666667,0.0,0.0,-524.2178459825759
AN_PA,5,1,59.45,2080.75,1525883.3333333333,0.0,1525883.3333333333,972798.1849999998,25920.2,401763.10000000003,16.129558182949594,265903.2389705883,951.2,12761.933333333334,0.0,0.0,-90.38500853730898
AN_PA,6,1,7.56,264.59999999999997,194039.99999999997,0.0,194039.99999999997,123706.54799999997,3296.16,51090.479999999996,2.0511263223397633,33813.767647058834,120.96,1622.88,0.0,0.0,-11.493871565047197
BA_INT,1,2,0.33,14.850000000000001,8019.0,6157.14,14176.140000000001,3412.0630499999997,514.1915625,7969.96921875,0.31996985843186065,9643.973988970589,2.475,128.20500000000004,0.0,0.0,0.04812128217263996
BA_INT,2,2,6.4,288.0,155520.0,119411.20000000001,274931.2,66173.344,9972.2,154569.1,6.2054760423148725,187034.64705882352,48.0,2486.4000000000005,0.0,86784.0,0.9448846700479979
BA_INT,3,2,68.64,3088.8,1667952.0,1280685.12,2948637.12,709709.1144,106951.845,1657753.5975000001,66.55373055382701,2005946.5897058821,514.8,26666.640000000007,0.0,907028.4,10.133888086264772
BA_INT,4,1,77.37,3481.65,1880091.0,1443569.46,3323660.46,799973.6914499999,120554.5490625,1868595.51046875,75.01838771779714,2261073.537959559,580.275,30058.24500000001,0.0,455751.6,18.93403801094173
BA_INT,5,1,886.08,39873.6,21531744.0,16532480.64,38064224.64,9161699.476799998,1380651.09,21400091.895,859.1481580584941,25894946.885294117,6645.6,344242.0800000001,0.0,8799626.4,269.32268902299097
BA_INT,6,1,96.92999999999999,4361.85,2355399.0,1808519.94,4163918.94,1002215.97405,151032.08531249998,2340997.32234375,93.98387387212196,2832698.178033088,726.975,37657.305000000015,0.0,0.0,30.328563834610474
BA_INT,7,3,17.47,786.15,424521.0,325955.26,750476.26,180632.54995,27220.9896875,421925.34015625,16.939010384256378,510546.1381433823,131.025,6787.095000000002,0.0,0.0,3.028109349294944
BA_IRR,1,2,28.4,965.6,521424.0,404927.2,926351.2,262819.0863636363,30546.781818181815,473475.11818181816,19.008576115856762,536709.7874331551,170.4,9375.408,0.0,385104.0,-5.83796258842778
BA_IRR,2,2,114.5,3893.0,2102220.0,1632541.0,3734761.0,1059605.1193181816,123155.15909090909,1908904.9659090908,76.63668891780279,2163847.558489305,687.0,37798.74,0.0,1552620.0,-26.20055069992253
BA_IRR,3,2,190.0,6460.0,3488400.0,2709020.0,6197420.0,1758296.7045454541,204362.2727272727,3167615.227272727,127.1700514793234,3590664.070855615,1140.0,62722.8,0.0,2576400.0,-43.2778693259067
BA_PER,1,2,39.42,709.5600000000001,383162.39999999997,283824.0,666986.4,185512.03110000002,22279.855499999998,345337.76024999993,13.864253578095829,406366.02165441174,98.55,6125.868,0.0,319473.6,-30.778694368601876
BA_PER,2,2,82.25,1480.5,799470.0,592200.0,1391670.0,387071.6529166667,46487.01458333333,720548.7260416666,28.927824880730135,847884.4566482843,205.625,12781.65,0.0,846686.4,-65.26744222310629
BA_PER,3,2,67.14,1208.52,652600.7999999999,483408.0,1136008.8,315963.41370000003,37946.968499999995,588178.01175,23.613546048537643,692121.1236397058,167.85,10433.556,0.0,604504.7999999999,-53.277051658277706
BA_PER,4,1,107.57,1936.26,1045580.4,774504.0,1820084.4000000001,506228.54351666674,60797.66758333333,942363.8475416666,37.83302276498652,1108898.8571629901,268.925,16716.378,0.0,326660.4,-81.21476156246152
BA_PER,5,1,83.79,1508.22,814438.8,603288.0,1417726.8,394318.95195,47357.40974999999,734039.8511249999,29.469452240199125,863759.7400919117,209.475,13020.966,0.0,290590.8,-56.80286256820385
BA_PER,6,1,40.15,722.7,390258.0,289080.0,679338.0,188947.43908333336,22692.445416666666,351732.9039583333,14.120999014727234,413891.3183517157,100.375,6239.31,0.0,0.0,-25.253998499548032
BA_PER,7,3,179.26,3226.68,1742407.2,1290672.0,3033079.2,843604.4316333334,101316.25816666665,1570402.0015833331,63.04683146650072,1847924.2273406864,448.15,27857.004,0.0,0.0,-140.05741519239749
BA_SINT,2,2,0.57,15.389999999999999,8310.599999999999,6531.0599999999995,14841.659999999998,3246.126422727271,546.2931818181818,8467.544318181817,0.3399459749957572,9920.135594919786,3.42,154.812,0.0,7729.2,-0.27348700907385015
BA_SINT,5,1,65.7,1773.9,957906.0,752790.6,1710696.6,374158.7824090907,62967.47727272728,975995.8977272728,39.18324659161623,1143426.1554144386,394.2,17844.120000000003,0.0,24408.0,-23.468270268092404
BA_SINT,6,1,61.150000000000006,1651.05,891567.0,700656.7,1592223.7,348246.7206136362,58606.71590909092,908404.0965909092,36.46964275612378,1064239.1081216577,366.90000000000003,16608.340000000004,0.0,0.0,-20.42768705077051
BC_BT,4,1,1.8,46.800000000000004,37440.0,0.0,37440.0,20495.7675,1095.9750000000001,16987.612500000003,0.6820006222775359,2335.6158088235293,4.5,140.04000000000002,0.0,16814.4,-0.5945150695514397
BC_BT,5,1,205.64,5346.64,4277312.0,0.0,4277312.0,2341527.5715,125209.055,1940740.3525,77.91478220286248,266831.13051470584,514.1,15998.792000000001,0.0,1149345.6,-78.3763394491913
BC_BT,6,1,37.81,983.06,786448.0,0.0,786448.0,430524.98287500005,23021.56375,356834.23812500003,14.325801960174237,49060.90762867646,94.525,2941.6180000000004,0.0,0.0,-11.28502573908431
BC_GTMG,1,2,0.14,3.6400000000000006,2912.0000000000005,0.0,2912.0000000000005,1588.0952500000003,86.92250000000001,1347.2987500000002,0.05408991910392036,168.9972426470588,0.35000000000000003,10.892000000000003,0.0,1898.4000000000003,-0.07220976405607996
BC_GTMG,2,2,1.76,45.760000000000005,36608.0,0.0,36608.0,19964.626,1092.74,16937.47,0.6799875544492844,2124.536764705882,4.4,136.92800000000003,0.0,23865.6,-0.8996658357368001
BC_GTMG,3,2,0.11,2.86,2288.0,0.0,2288.0,1247.789125,68.29625,1058.591875,0.042499222153080274,132.78354779411762,0.275,8.558000000000002,0.0,1491.6,-0.05622911473355004
CS_BT_NIM,4,1,3463.26,256281.24,5433162.287999999,11193226.634914286,16626388.922914285,9565692.236535428,44032.87714285715,682509.5957142857,27.400670281802828,7408934.292397058,8608.674857142858,249354.72,0.0,0.0,733.4760586739452
CS_BT_NIM,5,1,145.07,10735.18,227585.81599999996,468864.99654285714,696450.8125428571,400690.3821122857,1844.4614285714288,28589.152142857147,1.1477669126144547,310347.5043161764,360.6025714285714,10445.04,0.0,0.0,49.321632174669
CS_BT_NIM,6,1,137.34,10163.16,215458.99199999997,443881.70279999997,659340.6947999999,379339.746876,1746.18,27065.79,1.0866085874299938,293810.7551029411,341.388,9888.48,0.0,0.0,67.08128387199024
CS_BT_NISM,4,1,4.75,281.20000000000005,5961.44,12481.610285714287,18443.050285714286,7975.1765785714315,60.39285714285715,936.0892857142858,0.037581118321628595,8530.432095588234,11.807142857142857,342.0,0.0,0.0,0.8364873017074022
CS_BT_NISM,5,1,0.31,18.352,389.06239999999997,814.5893028571429,1203.651702857143,520.4852082857145,3.9414285714285717,61.09214285714286,0.0024526624588852345,556.7229367647058,0.7705714285714286,22.32,0.0,0.0,0.04875927204540012
CS_BT_NISM,6,1,0.1,5.920000000000001,125.504,262.7707428571429,388.27474285714294,167.89845428571437,1.2714285714285716,19.70714285714286,0.0007911814383500757,179.58804411764703,0.24857142857142858,7.2,0.0,0.0,0.016416292147499956
CS_CGT_NIM,1,2,1044.99,65834.37,1520115.6033,3098982.0372428573,4619097.640542857,2682320.6089002867,13286.301428571429,205937.67214285716,8.267766912614455,2152296.74925,2597.5465714285715,75239.28,0.0,0.0,3.841423270662336
CS_CGT_NISM,1,2,4.42,222.76799999999997,5143.713119999999,10672.370354285715,15816.083474285715,7003.1211194285725,56.197142857142865,871.0557142857144,0.03497021957507334,7811.322349999999,10.986857142857144,318.24,0.0,0.0,-0.029228467202554703
CS_EGT_NIM,2,2,2493.19,142111.83,3575533.6428000005,7043664.2221,10619197.8649,6250398.765166,31699.13,491336.5150000001,19.725656502800252,5026725.680529411,6197.358,179509.68,0.0,0.0,-241.56155250685916
CS_EGT_NISM,2,2,157.38,7176.528,180561.44448,362327.07078857144,542888.5152685714,247108.0891148571,2000.9742857142858,31015.10142857143,1.245161347675349,275676.3202323529,391.2017142857143,11331.36,0.0,0.0,-16.048050958264632
CS_MG_NISM,7,3,3143.01,143321.256,2351901.8109600004,7634407.210114287,9986309.021074288,5082575.74924543,39961.12714285715,619397.4707142857,24.866911725486712,5505486.283222058,7812.624857142857,226296.72,0.0,0.0,-275.5885703409501
CS_NGT_NIM,3,2,3992.39,215589.06,5560041.857399999,11339870.487714285,16899912.345114287,9681180.617417429,50760.387142857144,786786.0007142858,31.587048626544583,7962648.65572794,9923.940857142858,287452.08,0.0,0.0,-572.9677929760674
CS_NGT_NISM,3,2,595.47,25724.304000000004,663429.80016,1378162.5733714285,2041592.3735314286,905872.1610951428,7570.975714285715,117350.12357142859,4.711248110943195,1038414.4752485292,1480.1682857142857,42873.840000000004,0.0,0.0,-85.74236752928218
CS_SBT_NIM,5,1,243.55,23746.125,488457.79124999995,1091323.1949999998,1579780.9862499998,860006.9712866665,4302.716666666666,66692.10833333332,2.677483924496992,587509.3076286764,698.1766666666667,17535.6,0.0,0.0,171.33312529601636
IG_PLA,1,2,4.46,80.28,120420.0,0.0,120420.0,50826.851299999995,2997.12,46455.36,1.8650404480398257,11376.279411764704,4.46,513.7919999999999,0.0,36750.0,-9.22120075153752
IG_PLA,2,2,78.08,1405.44,2108160.0,0.0,2108160.0,889811.7823999999,52469.76,813281.28,32.6507529558183,199161.41176470587,78.08,8994.815999999999,0.0,1166250.0,-166.48946765617924
IG_PLA,3,2,162.35,2922.3,4383450.0,0.0,4383450.0,1850165.7642499998,109099.2,1691037.6,67.88998133167392,414111.87499999994,162.35,18702.719999999998,0.0,2300100.0,-344.64267102316296
IG_PLA,7,3,17.69,318.42,477630.0,0.0,477630.0,201597.98195,11887.68,184259.04,7.397436216552583,45122.507352941175,17.69,2037.888,0.0,0.0,-37.72027001585311
IG_TUT,4,1,2.27,34.05,68100.0,0.0,68100.0,20568.75375,2249.5699999999997,34868.335,1.3998568761667705,4458.046323529411,2.27,196.128,0.0,0.0,-4.863439781167918
IG_TUT,5,1,3.83,57.45,114900.0,0.0,114900.0,34704.10875,3795.53,58830.715000000004,2.3618730553827008,7521.725735294116,3.83,330.912,0.0,0.0,-6.988190522270641
IG_TUT,6,1,20.67,310.05,620100.0,0.0,620100.0,187293.45375,20483.97,317501.535,12.746714374611075,40593.752205882345,20.67,1785.888,0.0,0.0,-40.70520205098768
JA,1,2,11.83,0.0,0.0,2366.0,2366.0,1372.28,70.98,1100.19,0.044169259489732424,1426.5588235294115,0.0,0.0,0.0,0.0,6.154161714197278
JA,2,2,53.4,0.0,0.0,10680.0,10680.0,6194.4,320.4,4966.2,0.19937772246421903,6439.411764705881,0.0,0.0,0.0,0.0,27.798446203307993
JA,3,2,75.21,0.0,0.0,15042.0,15042.0,8724.36,451.26,6994.53,0.28080896079651524,9069.441176470587,0.0,0.0,0.0,0.0,39.15743024454299
JA,4,1,46.65,0.0,0.0,9330.0,9330.0,5411.4,279.9,4338.45,0.17417548226509022,5625.441176470587,0.0,0.0,0.0,0.0,24.611517437496957
JA,5,1,194.52,0.0,0.0,38904.0,38904.0,22564.32,1167.12,18090.36,0.7262725575606721,23456.82352941176,0.0,0.0,0.0,0.0,107.41825728197229
JA,6,1,30.45,0.0,0.0,6090.0,6090.0,3532.2,182.7,2831.85,0.11369010578718108,3671.9117647058815,0.0,0.0,0.0,0.0,16.813661423261994
JA,7,3,15.430000000000001,0.0,0.0,3086.0,3086.0,1789.88,92.58,1434.99,0.05761045426260112,1860.676470588235,0.0,0.0,0.0,0.0,8.052010436560197
MA_ROTA,1,2,23.56,1272.24,1335852.0,0.0,1335852.0,658000.9000039999,38944.68,603642.54,24.234399502177972,110748.8038235294,353.40000000000003,6530.832000000001,0.0,424080.0,-24.2737966660207
MA_ROTA,2,2,236.92,12793.68,13433364.0,0.0,13433364.0,6616874.9248279985,391628.76,6070245.78,243.70177971375233,1113692.9797058823,3553.8,65674.22400000002,0.0,4264560.0,-243.14846330980038
MA_ROTA,3,2,68.79,3714.66,3900393.0,0.0,3900393.0,1921217.3986109996,113709.87,1762502.985,70.75909769757311,323362.0634558823,1031.85,19068.588000000003,0.0,1238220.0,-70.5984416304287
