crop,gross_margin
AG,548040.3031733332
AN_NU,487661.9790666666
AN_PA,7155180.190999999
BA_INT,11923816.2137
BA_IRR,3080720.910227272
BA_PER,2821646.4639000003
BA_SINT,725651.6294454542
BC_BT,2792548.321875
BC_GTMG,22800.510375
CS_BT_NIM,10345722.365523715
CS_BT_NISM,8663.56024114286
CS_CGT_NIM,2682320.6089002867
CS_CGT_NISM,7003.121119428572
CS_EGT_NIM,6250398.765166
CS_EGT_NISM,247108.08911485708
CS_MG_NISM,5082575.749245431
CS_NGT_NIM,9681180.617417429
CS_NGT_NISM,905872.1610951428
CS_SBT_NIM,860006.9712866665
IG_PLA,2992402.3798999996
IG_TUT,242566.31625
JA,49588.840000000004
MA_ROTA,16400309.359097999
MA_TO_CO_JA,13599930.753294999
ME,41007.00756
PN_PIQ,4773831.84
VE_BTGT,145088.39429333332
