crop,labor_cost
AG,697088.9813333333
AN_NU,475026.33
AN_PA,2955070.66
BA_INT,27851902.7346875
BA_IRR,5549995.3113636365
BA_PER,5252603.1022499995
BA_SINT,1892867.5386363638
BC_BT,2314562.203125
BC_GTMG,19343.360625
CS_BT_NIM,738164.537857143
CS_BT_NISM,1016.8885714285716
CS_CGT_NIM,205937.67214285716
CS_CGT_NISM,871.0557142857144
CS_EGT_NIM,491336.515
CS_EGT_NISM,31015.10142857143
CS_MG_NISM,619397.4707142859
CS_NGT_NIM,786786.0007142858
CS_NGT_NISM,117350.12357142859
CS_SBT_NIM,66692.10833333332
IG_PLA,2735033.2800000003
IG_TUT,411200.585
JA,39756.57
MA_ROTA,15045457.23
MA_TO_CO_JA,11417926.200000001
ME,42732.26
PN_PIQ,5819783.76
VE_BTGT,186534.72933333332
