crop,production_tonnes
AG,1827.2
AN_NU,1399.4
AN_PA,15304.449999999999
BA_INT,51894.9
BA_IRR,11318.599999999999
BA_PER,10792.44
BA_SINT,3440.34
BC_BT,6376.5
BC_GTMG,52.260000000000005
CS_BT_NIM,277179.58
CS_BT_NISM,305.47200000000004
CS_CGT_NIM,65834.37
CS_CGT_NISM,222.768
CS_EGT_NIM,142111.83000000002
CS_EGT_NISM,7176.528
CS_MG_NISM,143321.25600000002
CS_NGT_NIM,215589.06
CS_NGT_NISM,25724.304000000004
CS_SBT_NIM,23746.125
IG_PLA,4726.44
IG_TUT,401.55
JA,0.0
MA_ROTA,31709.88
MA_TO_CO_JA,23509.8
ME,87.8
PN_PIQ,1966.7472000000002
VE_BTGT,481.69
