crop,revenue
AG,1279040.0
AN_NU,1026226.6666666666
AN_PA,11223263.333333332
BA_INT,49540024.760000005
BA_IRR,10858532.2
BA_PER,10144893.600000001
BA_SINT,3317761.96
BC_BT,5101200.0
BC_GTMG,41808.00000000001
CS_BT_NIM,17982180.43025714
CS_BT_NISM,20034.97673142857
CS_CGT_NIM,4619097.640542857
CS_CGT_NISM,15816.083474285715
CS_EGT_NIM,10619197.8649
CS_EGT_NISM,542888.5152685714
CS_MG_NISM,9986309.021074288
CS_NGT_NIM,16899912.345114283
CS_NGT_NISM,2041592.3735314286
CS_SBT_NIM,1579780.98625
IG_PLA,7089660.0
IG_TUT,803100.0
JA,85498.0
MA_ROTA,33295374.0
MA_TO_CO_JA,25860780.0
ME,105359.99999999999
PN_PIQ,11472692.0
VE_BTGT,337183.0
