farm,revenue
E1,35303.48211428571
E10,44382.84094285715
E100,209497.2826142857
E1000,37302.1494
E1001,7009.1554857142855
E1002,74317.59924761906
E1003,20165.75147142857
E1004,31047.222385714285
E1005,29285.116114285713
E1006,285201.0
E1007,42168.08805714286
E1008,27048.12585714286
E1009,7770.2035857142855
E101,66952.88905714286
E1010,54991.261
E1011,47037.600000000006
E1012,3809877.1830142858
E1013,26068.297457142857
E1014,1078.0
E1015,48849.18268571428
E1016,26041.239857142857
E1017,51778.43497142857
E1018,67081.79605714286
E1019,66772.38097142857
E102,8200.5
E1020,99663.23468571428
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,56157.83691428571
E1025,12626.081457142856
E1026,44798.137304761905
E1027,101513.8064
E1028,107712.0
E1029,33989.60331428571
E103,16778.752914285713
E1030,4080.6727142857144
E1031,50895.59002857143
E1032,79992.0
E1033,19771.725314285715
E1034,37734.220628571435
E1035,30427.02352
E1036,1197924.5878761904
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,57379.59252571429
E1040,37841.12845714286
E1041,216040.09577142858
E1042,57748.13401904762
E1043,37558.54497142858
E1044,84744.0
E1045,41051.41523809524
E1046,4704.7756
E1047,53831.29697142857
E1048,53261.70502857143
E1049,109431.0
E105,147782.86586666666
E1050,64092.2384
E1051,6433.060514285715
E1052,9328.522342857143
E1053,67331.70337142858
E1054,1019221.5974047618
E1055,105080.73448000001
E1056,13106.160600000001
E1057,349639.22
E1058,37262.478342857146
E1059,17924.37125714286
E106,32146.4076
E1060,65338.771342857144
E1061,16178.667114285714
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,34651.27968571428
E1066,18566.83825714286
E1067,48563.912868571424
E1068,57467.981028571434
E1069,12770.1052
E107,21495.1244
E1070,30222.5
E1071,10548.660662857144
E1072,14672.237622857145
E1073,32072.389157142858
E1074,9873.808285714285
E1075,16439.5
E1076,15488.195800000001
E1077,26815.43545714286
E1078,11864.260937142859
E1079,52542.019400000005
E108,28149.659
E1080,12967.59542857143
E1081,17758.031714285713
E1082,29323.806417142856
E1083,41013.58802857142
E1084,10421.568365714289
E1085,24420.417920000004
E1086,4861.280365714287
E1087,29998.840142857145
E1088,9531.922285714287
E1089,27056.67065714286
E109,53745.16991428571
E1090,5582.5
E1091,21737.29910857143
E1092,17397.810902857145
E1093,35906.89817142857
E1094,5051.918811428573
E1095,7122.5
E1096,26790.880185714283
E1097,7847.94934857143
E1098,22580.172000000002
E1099,7492.465628571428
E11,47589.58579999999
E110,39661.68562857143
E1100,54485.50394285714
E1101,9722.188614285715
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,11234.515171428571
E1106,9086.0
E1107,14205.206948571431
E1108,55984.35333333333
E1109,37944.30374857143
E111,17107.936914285714
E1110,14687.944485714284
E1111,4994.977085714286
E1112,403273.47898571426
E1113,12146.9
E1114,6754.037714285714
E1115,8085.0
E1116,22213.965242857143
E1117,3850.0
E1118,29042.798628571432
E1119,31318.586971428576
E112,67269.40517142857
E1120,28435.81805714286
E1121,11883.129782857146
E1122,142635.34
E1123,17171.0
E1124,9914.9048
E1125,31240.860251428574
E1126,3216.5302571428574
E1127,43592.759999999995
E1128,25863.822028571427
E1129,383731.20483809523
E113,54985.44128571428
E1130,4861.280365714287
E1131,61154.0986
E1132,121007.33743809524
E1133,101574.96
E1134,525652.16
E1135,27385.495514285714
E1136,53315.91691428571
E1137,163376.91328571428
E1138,17930.23564
E1139,34915.38682857143
E114,60467.57995999999
E1140,13970.303057142857
E1141,22272.58565714286
E1142,61277.71906857143
E1143,88704.0
E1144,214303.52687142856
E1145,13598.875794285717
E1146,31557.72688809524
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,58739.54364285714
E1150,39606.52928571429
E1151,80214.78302857143
E1152,8441.377085714286
E1153,38016.0
E1154,30224.611714285715
E1155,9422.5
E1156,3685.676617142858
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,67733.95089428572
E1160,224660.82527142856
E1161,47416.08097142857
E1162,26718.840714285714
E1163,10707.718557142856
E1164,16429.838742857144
E1165,9285.233514285714
E1166,33583.882971428575
E1167,15922.992085714286
E1168,19676.077942857144
E1169,224019.0
E117,63196.44588571429
E1170,5042.461071428572
E1171,4214.908337142857
E1172,24039.374514285715
E1173,8619.451285714287
E1174,13018.3443
E1175,10493.715557142856
E1176,9382.676371428572
E1177,11670.431114285713
E1178,2037.5
E1179,248912.99999999997
E118,13379.67902857143
E1180,6518.868399999999
E1181,28051.00713142857
E1182,2797.320357142857
E1183,20444.550857142858
E1184,64492.987388571426
E1185,27539.473228571427
E1186,15659.70057142857
E1187,14892.5
E1188,4855.580828571428
E1189,54373.89841142857
E119,37088.011685714286
E1190,348138.0
E1191,57826.37582857143
E1192,12539.482828571428
E1193,24358.8323
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,151538.2634857143
E12,16043.189114285715
E120,26033.160085714284
E1200,47118.31954285715
E1201,30361.468422857142
E1202,6337.044685714286
E1203,16241.1
E1204,66683.07639999999
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1209,8881.464142857143
E121,24576.05384285714
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,30423.561428571425
E1214,7318.560514285715
E1215,4032.6648000000005
E1216,373063.13032380946
E1217,426053.34938095236
E1218,7681.266285714286
E1219,17282.849142857143
E122,27111.284428571427
E1220,579656.0
E1221,42150.948742857145
E1222,8545.408742857144
E1223,152316.05114285715
E1224,6769.115914285714
E1225,8833.456228571427
E1226,6048.9972
E1227,55423.61354285714
E1228,108589.6740952381
E1229,9073.4958
E123,1209656.8996285715
E1230,6000.989285714286
E1231,15868.043285714286
E1232,187965.72337142855
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9671.416657142858
E1237,39920.2954
E1238,13346.200171428573
E1239,9409.5512
E124,13037.76347142857
E1240,11101.94757142857
E1241,2640.435285714286
E1242,17706.817485714284
E1243,63099.990542857144
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,182834.66666666666
E1248,5376.8864
E1249,7921.305857142857
E125,69028.81891428572
E1250,17152.964142857145
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8353.377085714286
E1254,28516.701085714285
E1255,42078.75043809524
E1256,47710.75043809524
E1257,7420.4
E1258,40637.52417142857
E1259,6817.123828571428
E126,15400.0
E1260,20744.108171428572
E1261,98337.58046666667
E1262,5424.894314285714
E1263,72761.96408571428
E1264,12106.469885714287
E1265,30292.993914285715
E1266,27057.906371428573
E1267,41624.090371428574
E1268,5164.298342857142
E1269,13634.247657142856
E127,9239.81110857143
E1270,9608.981342857141
E1271,63218.780868571426
E1272,9270.338828571428
E1273,84110.3344857143
E1274,27308.374628571426
E1276,3692.119177142857
E1277,34758.497605714285
E1278,29428.85145714286
E1279,46585.36917142857
E128,5462.043577142857
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13644.353114285715
E1283,286.0
E1284,42875.86942857143
E1285,8593.416657142858
E1286,5841.253057142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,20958.34636190476
E129,29680.646571428573
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4130.499657142858
E1293,1493.3344914285717
E1294,6513.4802285714295
E1295,11120.576000000001
E1296,10866.391405714288
E1297,1398.0152685714288
E1298,3312.5460857142857
E1299,3844.541988571429
E13,86932.76288571428
E130,14433.098685714285
E1300,19101.23830857143
E1301,37350.157314285716
E1302,24853.367954285717
E1303,58542.33848
E1304,45808.548388571435
E1305,47383.811400000006
E1306,37150.02277142857
E1307,4798.030537142858
E1308,3312.5460857142857
E1309,4893.053440000001
E131,50488.71012857143
E1310,2128.7959771428577
E1311,4480.003474285715
E1312,4829.507291428573
E1313,2859.576685714286
E1314,29296.117851428575
E1315,2700.7113142857147
E1316,10581.872320000002
E1317,4575.3226971428585
E1318,44352.0
E1319,16494.206811428576
E132,24558.866
E1320,5973.337965714287
E1321,15645.256777142858
E1322,2510.0728685714294
E1323,3495.0381714285722
E1324,37445.576434285715
E1325,6354.614857142858
E1326,6799.437897142859
E1327,12332.17974857143
E1328,4862.2545714285725
E1329,30232.136800000004
E133,70379.33797142857
E1330,6497.740200000001
E1331,7969.5
E1332,12650.065842857142
E1333,63823.543405714285
E1334,127867.34024285714
E1335,74131.92002857142
E1336,87539.17651428572
E1337,37101.764371428566
E1338,41843.17668571429
E1339,26402.993577142854
E134,40589.61268571429
E1340,31917.056971428574
E1341,28784.61371428571
E1342,61092.760585714284
E1343,34511.28765714286
E1344,25164.558337142855
E1345,52295.550571428575
E1346,30092.63141142857
E1347,78700.6464952381
E1348,38660.45510000001
E1349,96805.04730857143
E135,36474.912777142854
E1350,48704.664471428565
E1351,24916.79635714286
E1352,13420.3966
E1353,33916.22097142858
E1354,4952.646771428571
E1355,32639.476014285716
E1356,77868.0
E1357,8239.0
E1358,9914.550885714285
E1359,39554.458371428576
E136,67876.42445714286
E1360,8085.090028571428
E1361,7070.407171428572
E1362,21791.740942857145
E1363,11047.869642857144
E1364,11541.676742857144
E1365,8849.750885714286
E1366,16326.359257142856
E1367,3790.7604714285712
E1368,3934.005971428572
E1369,5913.196714285715
E137,36908.987617142855
E1370,17505.64667142857
E1371,124972.78048571429
E1372,101493.0
E1373,32842.319514285715
E1374,47967.642920000006
E1375,33190.19373714286
E1376,5750.029928571429
E1377,23681.80537142857
E1378,28622.3712
E1379,53360.0
E138,32668.830342857145
E1380,20657.51492857143
E1381,50467.453205714286
E1382,16481.50417142857
E1383,8589.523514285716
E1384,3471.425142857143
E1385,34281.40843428571
E1386,33582.26345714286
E1387,4703.259731428572
E1388,68971.12942857142
E1389,28842.302942857143
E139,37852.28162857143
E1390,194845.9
E1391,6227.522560000001
E1392,3113.761280000001
E1393,9126.899382857144
E1394,20848.087040000002
E1395,21377.460662857146
E1396,17042.342125714287
E1397,1938.1575314285717
E1398,8663.084320000002
E1399,3876.315062857144
E14,4575.322697142858
E140,2224.1152000000006
E1400,5973.337965714287
E1401,27145.210422857144
E1402,2764.2574628571438
E1403,33309.93348571429
E1404,7344.318880000001
E1405,9142.953508571429
E1406,11326.99584
E1407,2342.6047857142858
E1408,7206.129942857142
E1409,5464.968777142858
E141,34587.487777142866
E1410,5790.503171428572
E1411,25337.299357142856
E1412,33779.590800000005
E1413,11115.96086857143
E1414,1652.1998628571432
E1415,2637.165165714286
E1416,9775.224982857142
E1417,41300.86628571429
E1418,40898.31852571428
E1419,32813.42295714286
E142,3725.067657142857
E1420,8012.580828571428
E1421,172873.06388571428
E1422,47945.05998571429
E1423,13226.71017142857
E1424,33041.71814285714
E1425,10050.361742857142
E1426,36376.47997142857
E1427,30647.147542857143
E1428,46528.591628571434
E1429,48227.21815714286
E143,50903.74608571429
E1430,23958.957885714284
E1431,4514.838314285715
E1432,11588.015557142857
E1433,9091.817942857142
E1434,10741.162371428574
E1435,3640.4070285714283
E1436,8167.446771428571
E1437,3598.076714285714
E1438,33020.71143428572
E1439,5485.663085714285
E144,31326.335857142858
E1440,64984.859771428564
E1441,8855.0
E1442,13207.058057142856
E1443,4656.3345714285715
E1444,44807.39797142857
E1446,16197.689657142857
E1447,18413.686714285715
E1448,2963.122
E1449,7253.970428571429
E145,9193.940114285715
E1450,8091.35305142857
E1451,18766.254485714286
E1452,30763.238114285712
E1453,7491.493725714286
E1454,115.99999999999999
E1455,3598.076714285714
E1456,36393.81562857143
E1457,11756.037485714289
E1458,8616.22262857143
E1459,2573.619017142858
E146,48256.73608
E1460,9413.71478857143
E1461,20632.499382857146
E1462,12359.72589714286
E1463,8134.480904761905
E1464,13164.727742857141
E1465,4575.3226971428585
E1466,45494.07817142857
E1467,14497.258371428572
E1468,177206.07262857142
E1469,54156.66725714286
E147,26248.164548571433
E1470,9445.246085714285
E1472,24202.875428571428
E1473,20595.39522857143
E1474,9777.35934857143
E1475,17373.624194285712
E1476,51821.958
E1477,4032.6648
E1478,20741.854
E1479,27983.975771428573
E148,94050.22771428572
E1480,5814.472594285716
E1481,2065.249828571429
E1482,6102.800182857142
E1483,30009.560457142856
E1484,11519.9466
E1485,541958.0641238096
E1486,287995.46382857143
E1487,133147.76104
E1488,270331.27542857145
E1489,16436.716751428572
E149,4702.414994285715
E1490,17594.5
E1491,2976.490685714286
E1492,71442.0
E1493,36634.70131428572
E1494,48896.5508
E1495,26665.506108571426
E1496,21313.626257142856
E1497,15597.091302857143
E1498,35183.67197714286
E1499,61803.00000000001
E15,17671.883977142857
E150,76627.03308571428
E1500,13209.060514285715
E1501,70847.79522857143
E1502,47623.850971428576
E1503,15361.204057142857
E1504,18327.905385714286
E1505,112266.0
E1506,49896.0
E1507,49479.43151428571
E1508,7392.0
E1509,28541.721165714283
E151,56057.0074
E1510,35419.20297142857
E1511,43447.16242857143
E1512,15111.922199999999
E1513,34873.38857142857
E1514,27412.519057142857
E1515,99940.76342857143
E1516,5040.831
E1517,111485.84305714285
E1518,73006.04783428571
E1519,8169.750657142857
E152,8987.289285714285
E1520,22421.40626285714
E1521,3137.6854857142857
E1522,4679.710171428571
E1523,10181.466382857143
E1524,16536.135314285715
E1525,52431.931679999994
E1527,12049.986485714286
E1528,3979.0495428571426
E1529,17712.374714285714
E153,31242.44465142857
E1530,10225.685742857142
E1531,871397.9693428571
E1532,4800.791428571429
E1533,16236.0
E1534,5488.8784857142855
E1535,18819.078657142858
E1536,27124.47157142857
E1537,4800.791428571429
E1538,51868.503228571426
E1539,4704.7756
E154,10895.5
E1540,4066.7705142857144
E1541,185709.57725714284
E1542,64709.25045714285
E1543,105336.0
E1544,2784.4590285714285
E1545,5424.894314285714
E1546,9937.638257142858
E1547,3072.5065142857143
E1548,11425.8836
E1549,10465.725314285715
E155,37291.0366
E1550,8209.353342857143
E1551,27867.114897142856
E1552,63961.259371428576
E1553,18444.300525714287
E1554,50827.18
E1555,29673.550314285712
E1556,11191.881714285713
E1557,55674.21169142857
E1558,119821.48971428571
E1559,10368.22732
E156,57560.496914285715
E1560,28261.7224
E1561,9209.447514285714
E1562,4148.3708
E1563,10010.877457142858
E1564,53505.3
E1566,2571.404571428571
E1567,106162.54402857143
E1568,45079.431514285716
E1569,928944.0
E157,14573.841645714287
E1570,68040.0
E1571,11137.836114285714
E1572,53070.6466
E1573,123149.58385714286
E1574,26332.83232857143
E1575,365715.0
E1576,37072.14014285714
E1577,19563.433885714287
E1578,27748.57445714286
E1579,26842.44262857143
E158,5687.380297142858
E1580,12858.345428571429
E1581,7465.862657142858
E1582,20823.972285714284
E1583,3081.9882057142863
E1584,9431.987931428574
E1585,36435.05582857143
E1586,3844.5419885714296
E1587,14100.322285714288
E1588,17275.32214857143
E1589,35045.700937142865
E159,50660.77694285714
