crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,21516778.76
BA_IRR,4746488.199999999
BA_PER,4316976.0
BA_SINT,1459978.36
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,12105973.334257143
CS_BT_NISM,13558.970331428573
CS_CGT_NIM,3098982.0372428573
CS_CGT_NISM,10672.370354285715
CS_EGT_NIM,7043664.2221
CS_EGT_NISM,362327.0707885714
CS_MG_NISM,7634407.210114287
CS_NGT_NIM,11339870.487714285
CS_NGT_NISM,1378162.5733714285
CS_SBT_NIM,1091323.195
IG_PLA,0.0
IG_TUT,0.0
JA,85498.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
ME,0.0
PN_PIQ,1638956.0
VE_BTGT,0.0
