crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,10.27,90.57000000000001,89.81554938516462,False
AN,132.67000000000002,476.09,343.41999999999996,258.85279264340085,False
BA,1920.8,977.85,942.9499999999999,49.091524364847984,False
BC,147.21,2875.26,2728.05,1853.1689423272874,False
CS,12812.93,15392.08,2579.1499999999996,20.129275661382678,False
IG,145.42,43.83,101.58999999999999,69.85971668271213,False
JA,621.47,174.32,447.15000000000003,71.95037572207829,False
MA,1086.97,915.44,171.52999999999997,15.780564321002416,False
ME,189.36,0.0,189.36,99.99999999999999,False
PN,6109.43,2575.62,3533.8100000000004,57.84189359727504,False
VE,310.89,18.41,292.47999999999996,94.07829135707162,False
TOTAL,23577.99,23459.17,11420.06,48.435256779733976,False
