crop,gross_margin
AG,61606.544588333316
AN_NU,279410.72946666664
AN_PA,7134398.799999999
BA_INT,3194828.3691499997
BA_IRR,268001.4345454545
BA_PER,2105528.610716667
BA_SINT,1096222.587913636
BC_BT,19602379.76775
BC_GTMG,13087266.0845
CS_BT_NIM,10137767.730732
CS_BT_NISM,7639.379670000002
CS_CGT_NIM,2696540.894427715
CS_CGT_NISM,9538.187588
CS_EGT_NIM,6272635.753541143
CS_EGT_NISM,271115.4768551428
CS_MG_NISM,5074069.779350002
CS_NGT_NIM,9607875.632166857
CS_NGT_NISM,1086675.4028137142
CS_SBT_NIM,606083.3362826665
IG_PLA,303023.76145
IG_TUT,156213.79499999998
JA,20221.12
MA_ROTA,9220391.219325999
MA_TO_CO_JA,12189019.937069999
PN_PIQ,4126143.2399999998
VE_BTGT,80405.69954666666
