crop,labor_cost
AG,78361.46933333333
AN_NU,272171.01
AN_PA,2946488.0
BA_INT,7462547.8451562505
BA_IRR,482811.24727272725
BA_PER,3919522.2555416664
BA_SINT,2859504.5715909093
BC_BT,16247141.34625
BC_GTMG,11102896.5275
CS_BT_NIM,723327.03
CS_BT_NISM,896.6750000000002
CS_CGT_NIM,207029.44785714286
CS_CGT_NISM,1186.3700000000001
CS_EGT_NIM,493084.5385714286
CS_EGT_NISM,34028.32357142857
CS_MG_NISM,618360.8750000001
CS_NGT_NIM,780828.5314285714
CS_NGT_NISM,140772.06285714285
CS_SBT_NIM,47000.75333333333
IG_PLA,276961.44
IG_TUT,264815.02
JA,16211.760000000002
MA_ROTA,8458682.01
MA_TO_CO_JA,10233385.200000001
PN_PIQ,5030185.86
VE_BTGT,103374.60466666667
