crop,production_tonnes
AG,205.39999999999998
AN_NU,801.8000000000001
AN_PA,15260.0
BA_INT,13904.550000000001
BA_IRR,984.64
BA_PER,8053.38
BA_SINT,5197.2300000000005
BC_BT,44760.04
BC_GTMG,29996.72
CS_BT_NIM,271608.12
CS_BT_NISM,269.36
CS_CGT_NIM,66183.39
CS_CGT_NISM,303.40799999999996
CS_EGT_NIM,142617.41999999998
CS_EGT_NISM,7873.7519999999995
CS_MG_NISM,143081.4
CS_NGT_NIM,213956.63999999998
CS_NGT_NISM,30858.624000000003
CS_SBT_NIM,16734.9
IG_PLA,478.62
IG_TUT,258.59999999999997
JA,0.0
MA_ROTA,17827.559999999998
MA_TO_CO_JA,21070.8
PN_PIQ,1699.9092
VE_BTGT,266.945
