crop,revenue
AG,143780.0
AN_NU,587986.6666666667
AN_PA,11190666.666666666
BA_INT,13273592.42
BA_IRR,944617.28
BA_PER,7570177.2
BA_SINT,5012054.62
BC_BT,35808032.0
BC_GTMG,23997376.0
CS_BT_NIM,17620728.843599997
CS_BT_NISM,17666.5008
CS_CGT_NIM,4643585.722657142
CS_CGT_NISM,21541.362559999998
CS_EGT_NIM,10656977.691171428
CS_EGT_NISM,595631.9731314285
CS_MG_NISM,9969596.384000001
CS_NGT_NIM,16771947.805028569
CS_NGT_NISM,2449074.2846171428
CS_SBT_NIM,1113338.569
IG_PLA,717930.0
IG_TUT,517199.99999999994
JA,34864.0
MA_ROTA,18718938.0
MA_TO_CO_JA,23177880.0
PN_PIQ,9916137.0
VE_BTGT,186861.5
