farm,revenue
E1,35303.48211428571
E10,48118.222942857145
E100,241058.3782342857
E1000,37302.1494
E1001,7009.1554857142855
E1002,74317.59924761906
E1003,20165.75147142857
E1004,36546.83831428571
E1005,29905.916114285716
E1006,285201.0
E1007,42168.08805714286
E1008,27048.12585714286
E1009,7770.2035857142855
E101,67501.802
E1010,45654.980885714285
E1011,47037.600000000006
E1012,3809877.1830142858
E1013,26068.297457142857
E1014,1078.0
E1015,48849.18268571428
E1016,26041.239857142857
E1017,52626.77957142857
E1018,39814.51806857143
E1019,66772.38097142857
E102,8200.5
E1020,104600.49994285715
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,55838.7334
E1025,12626.081457142856
E1026,44382.09262857143
E1027,105596.13205714285
E1028,107712.0
E1029,33989.60331428571
E103,16778.752914285713
E1030,4080.6727142857144
E1031,51718.35326285714
E1032,79992.0
E1033,19771.725314285715
E1034,37734.220628571435
E1035,28750.118948571428
E1036,1194984.8648761904
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,61542.044468571425
E1040,37841.12845714286
E1041,177934.01194285712
E1042,57748.13401904762
E1043,38528.54497142858
E1044,84744.0
E1045,41051.41523809524
E1046,4704.7756
E1047,53831.29697142857
E1048,53261.70502857143
E1049,109431.0
E105,146530.91335238094
E1050,64114.2384
E1051,6433.060514285715
E1052,9328.522342857143
E1053,67331.70337142858
E1054,1019221.5974047618
E1055,105080.73448000001
E1056,13106.160600000001
E1057,167648.0
E1058,38426.478342857146
E1059,18566.46662857143
E106,32301.6076
E1060,65338.771342857144
E1061,16178.667114285714
E1062,14822.5
E1063,6603.529028571429
E1064,15130.5
E1065,34651.27968571428
E1066,20225.654085714286
E1067,46158.50381714285
E1068,55579.19222857143
E1069,12770.1052
E107,21495.1244
E1070,30222.5
E1071,10548.660662857144
E1072,14672.237622857145
E1073,32072.389157142858
E1074,10412.422171428572
E1075,16439.5
E1076,18002.173642857142
E1077,26815.43545714286
E1078,11864.260937142859
E1079,52925.11757142858
E108,28149.659
E1080,12967.59542857143
E1081,17758.031714285713
E1082,29323.806417142856
E1083,41013.58802857142
E1084,10421.568365714289
E1085,24420.417920000004
E1086,4861.280365714287
E1087,32831.76880571429
E1088,9531.922285714287
E1089,28307.321571428572
E109,50607.16991428571
E1090,5582.5
E1091,21737.29910857143
E1092,17397.810902857145
E1093,37580.474605714284
E1094,5051.918811428573
E1095,7122.5
E1096,26790.880185714283
E1097,7847.94934857143
E1098,23394.972
E1099,7492.465628571428
E11,47589.58579999999
E110,40243.68562857143
E1100,54485.50394285714
E1101,12112.164057142858
E1102,8496.982828571428
E1103,21265.39262857143
E1104,9394.0
E1105,11234.515171428571
E1106,9086.0
E1107,14205.206948571431
E1108,46800.0
E1109,44666.57929142857
E111,17107.936914285714
E1110,14687.944485714284
E1111,4994.977085714286
E1112,405420.48764285713
E1113,15947.790414285715
E1114,6551.6377142857145
E1115,8085.0
E1116,21903.152671428572
E1117,3850.0
E1118,29042.798628571432
E1119,31318.586971428576
E112,67269.40517142857
E1120,28435.81805714286
E1121,11883.129782857146
E1122,142635.34
E1123,17171.0
E1124,9914.9048
E1125,31240.860251428574
E1126,3216.5302571428574
E1127,45765.78
E1128,25863.822028571427
E1129,362605.6666666666
E113,59109.46934285714
E1130,4861.280365714287
E1131,65570.9986
E1132,121841.97244761905
E1133,65312.0
E1134,333840.0
E1135,27385.495514285714
E1136,54682.88451428572
E1137,157196.36645714287
E1138,17930.23564
E1139,34959.77488571429
E114,60467.57995999999
E1140,13970.303057142857
E1141,22272.58565714286
E1142,61277.71906857143
E1143,88704.0
E1144,180744.03585714285
E1145,13598.875794285717
E1146,29979.18685
E1147,2928.4827714285716
E1148,15739.288628571428
E1149,19600.483685714287
E115,62595.07178571428
E1150,39606.52928571429
E1151,72594.36637142856
E1152,8441.377085714286
E1153,38016.0
E1154,30224.611714285715
E1155,9422.5
E1156,3685.676617142858
E1157,24399.67748571429
E1158,10657.756971428571
E1159,144144.0
E116,68432.13053714286
E1160,245434.30527142857
E1161,38412.92274285715
E1162,29277.56287142857
E1163,10707.718557142856
E1164,17236.04105714286
E1165,9285.233514285714
E1166,33583.882971428575
E1167,15922.992085714286
E1168,23856.114942857144
E1169,269598.0
E117,65552.94588571429
E1170,5042.461071428572
E1171,4214.908337142857
E1172,26060.053257142856
E1173,8619.451285714287
E1174,13018.3443
E1175,10493.715557142856
E1176,10849.020342857142
E1177,11670.431114285713
E1178,2037.5
E1179,248912.99999999997
E118,13379.67902857143
E1180,6518.868399999999
E1181,28051.00713142857
E1182,2797.320357142857
E1183,20444.550857142858
E1184,64492.987388571426
E1185,27539.473228571427
E1186,15659.70057142857
E1187,16250.5
E1188,4855.580828571428
E1189,54373.89841142857
E119,37088.011685714286
E1190,348138.0
E1191,57826.37582857143
E1192,18514.04385714286
E1193,25910.8323
E1194,11798.209557142856
E1195,4983.359271428571
E1196,5068.5449
E1197,49640.183371428575
E1198,24051.965057142857
E1199,141693.0
E12,16043.189114285715
E120,26033.160085714284
E1200,49854.77065714286
E1201,30361.468422857142
E1202,6337.044685714286
E1203,16241.1
E1204,69248.05631428571
E1205,1008.1662
E1206,33125.460857142854
E1207,15170.500914285714
E1209,8881.464142857143
E121,24576.05384285714
E1210,8881.464142857143
E1211,7489.234628571428
E1212,17042.809571428574
E1213,31827.703885714283
E1214,7318.560514285715
E1215,4032.6648000000005
E1216,372228.4953142857
E1217,416166.76603809523
E1218,7681.266285714286
E1219,17282.849142857143
E122,32820.31502857143
E1220,559731.3333333333
E1221,42150.948742857145
E1222,8545.408742857144
E1223,151588.09777142858
E1224,6769.115914285714
E1225,8833.456228571427
E1226,6048.9972
E1227,55423.61354285714
E1228,108589.6740952381
E1229,9073.4958
E123,1235792.0781142856
E1230,6000.989285714286
E1231,15868.043285714286
E1232,191721.5809142857
E1233,38694.37891428571
E1234,6145.013028571429
E1235,11425.883600000001
E1236,9671.416657142858
E1237,39920.2954
E1238,13346.200171428573
E1239,9409.5512
E124,13037.76347142857
E1240,11101.94757142857
E1241,2640.435285714286
E1242,17706.817485714284
E1243,65074.46177142857
E1244,12868.415542857143
E1245,10081.662
E1246,27124.471571428574
E1247,182834.66666666666
E1248,5376.8864
E1249,7921.305857142857
E125,70998.65551428571
E1250,17152.964142857145
E1251,13443.948314285715
E1252,10561.741142857143
E1253,8353.377085714286
E1254,28516.701085714285
E1255,43876.352857142854
E1256,47710.75043809524
E1257,7420.4
E1258,40637.52417142857
E1259,6817.123828571428
E126,15400.0
E1260,20744.108171428572
E1261,98185.16953714285
E1262,5424.894314285714
E1263,72761.96408571428
E1264,12106.469885714287
E1265,30292.993914285715
E1266,18130.5
E1267,43253.69037142857
E1268,5164.298342857142
E1269,13634.247657142856
E127,9239.81110857143
E1270,9608.981342857141
E1271,61545.495839999996
E1272,9270.338828571428
E1273,84110.3344857143
E1274,27308.374628571426
E1276,3692.119177142857
E1277,34758.497605714285
E1278,29428.85145714286
E1279,46585.36917142857
E128,5462.043577142857
E1280,12338.033971428571
E1281,7534.795942857143
E1282,13644.353114285715
E1283,286.0
E1284,42875.86942857143
E1285,8593.416657142858
E1286,5841.253057142857
E1287,4275.361742857142
E1288,18243.00742857143
E1289,19477.258371428572
E129,30091.070542857145
E1290,4638.868845714287
E1291,31157.136371428573
E1292,4130.499657142858
E1293,1493.3344914285717
E1294,6513.4802285714295
E1295,11120.576000000001
E1296,10866.391405714288
E1297,1398.0152685714288
E1298,3312.5460857142857
E1299,3844.541988571429
E13,78132.18918285714
E130,14433.098685714285
E1300,19161.78064
E1301,37350.157314285716
E1302,24853.367954285717
E1303,58542.33848
E1304,45808.548388571435
E1305,47383.811400000006
E1306,37150.02277142857
E1307,4798.030537142858
E1308,3312.5460857142857
E1309,4893.053440000001
E131,55837.70652857143
E1310,2128.7959771428577
E1311,4480.003474285715
E1312,4829.507291428573
E1313,2859.576685714286
E1314,29296.117851428575
E1315,2700.7113142857147
E1316,10581.872320000002
E1317,4575.3226971428585
E1318,44352.0
E1319,16494.206811428576
E132,32659.392628571426
E1320,5973.337965714287
E1321,15645.256777142858
E1322,2510.0728685714294
E1323,3495.0381714285722
E1324,38576.16045714286
E1325,6354.614857142858
E1326,6799.437897142859
E1327,12332.17974857143
E1328,4862.2545714285725
