crop,subsidy
AG,0.0
AN_NU,0.0
AN_PA,0.0
BA_INT,5765135.42
BA_IRR,412911.68
BA_PER,3221352.0
BA_SINT,2205550.42
BC_BT,0.0
BC_GTMG,0.0
CS_BT_NIM,11862636.6996
CS_BT_NISM,11956.068800000001
CS_CGT_NIM,3115411.2475571427
CS_CGT_NISM,14535.671839999999
CS_EGT_NIM,7068723.403971428
CS_EGT_NISM,397528.3728114285
CS_MG_NISM,7621630.610000001
CS_NGT_NIM,11254006.05942857
CS_NGT_NISM,1653230.3716571429
CS_SBT_NIM,769101.676
IG_PLA,0.0
IG_TUT,0.0
JA,34864.0
MA_ROTA,0.0
MA_TO_CO_JA,0.0
PN_PIQ,1416591.0
VE_BTGT,0.0
