plot,crop,farm,region,island,surface_ha
P1,CS,E1,3,2,3.68
P2,CS,E1,3,2,3.3
P3,CS,E1,3,2,1.36
P4,MA,E2,2,2,1.24
P5,CS,E3,2,2,0.77
P6,MA,E3,2,2,0.21
P7,PN,E3,2,2,0.57
P8,PN,E3,2,2,1.52
P10,PN,E4,2,2,0.86
P11,PN,E4,2,2,0.6
P12,PN,E5,3,2,0.6
P14,PN,E5,3,2,1.46
P16,CS,E5,3,2,1.46
P17,CS,E5,3,2,2.12
P18,PN,E5,3,2,0.45
P19,PN,E6,1,2,0.76
P20,CS,E6,1,2,0.48
P22,CS,E6,1,2,0.43
P23,CS,E6,1,2,3.59
P24,PN,E6,1,2,2.15
P25,CS,E6,1,2,0.84
P26,CS,E6,1,2,0.9
P27,CS,E7,3,2,1.96
P29,PN,E7,3,2,0.44
P31,CS,E7,3,2,0.85
P32,CS,E7,3,2,0.49
P33,PN,E7,3,2,0.67
P34,CS,E7,3,2,0.52
P37,PN,E7,3,2,0.24
P39,CS,E7,3,2,3.2
P41,PN,E7,3,2,3.61
P42,PN,E7,3,2,1.32
P43,PN,E7,3,2,0.46
P44,PN,E7,3,2,1.01
P47,PN,E8,2,2,1.59
P48,PN,E9,1,2,4.34
P49,JA,E9,1,2,0.86
P50,PN,E9,1,2,3.43
P51,PN,E9,1,2,1.47
P52,CS,E9,1,2,4.36
P53,CS,E9,1,2,3.29
P54,AG,E10,3,2,0.47
P56,PN,E10,3,2,0.05
P57,CS,E10,3,2,1.43
P58,CS,E10,3,2,0.7
P59,PN,E10,3,2,0.18
P60,PN,E10,3,2,4.19
P61,PN,E10,3,2,0.54
P62,CS,E10,3,2,0.04
P63,CS,E10,3,2,0.46
P64,CS,E10,3,2,0.68
P65,PN,E10,3,2,0.96
P66,CS,E11,3,2,2.02
P67,CS,E11,3,2,0.3
P68,CS,E11,3,2,1.25
P69,CS,E11,3,2,4.17
P70,CS,E11,3,2,0.28
P71,CS,E11,3,2,0.39
P72,CS,E11,3,2,3.07
P74,CS,E12,3,2,1.79
P75,CS,E12,3,2,0.9
P77,CS,E12,3,2,1.1
P78,CS,E13,3,2,1.3
P79,MA,E13,3,2,0.98
P80,CS,E13,3,2,1.97
P81,CS,E13,3,2,2.62
P84,CS,E13,3,2,1.52
P86,CS,E14,7,3,0.19
P87,CS,E14,7,3,0.28
P88,CS,E14,7,3,0.27
P89,CS,E14,7,3,0.7
P90,CS,E15,7,3,0.45
P91,CS,E15,7,3,0.43
P92,PN,E15,7,3,1.48
P93,IG,E15,7,3,0.16
P94,PN,E15,7,3,0.49
P95,PN,E16,1,2,2.78
P96,PN,E16,1,2,0.45
P97,PN,E16,1,2,0.44
P98,CS,E16,1,2,0.78
P99,PN,E16,1,2,1.69
P100,CS,E16,1,2,0.87
P101,MA,E16,1,2,0.19
P103,CS,E17,2,2,1.04
P105,CS,E18,7,3,0.65
P106,PN,E18,7,3,1.46
P107,CS,E19,3,2,1.35
P108,CS,E19,3,2,1.81
P109,CS,E19,3,2,1.77
P110,CS,E19,3,2,1.35
