crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
AG,100.84,19.58,81.26,80.58310194367316,False
AN,132.67000000000002,170.82,38.14999999999998,28.755558905555116,False
BA,1920.8,2088.84,168.0400000000002,8.748438150770522,True
BC,147.21,6.45,140.76000000000002,95.61850417770533,False
CS,12812.93,13468.37,655.4400000000005,5.1154575885453255,True
IG,145.42,67.37,78.04999999999998,53.67212212900563,False
JA,621.47,418.04,203.43,32.73367982364394,False
MA,1086.97,1541.55,454.5799999999999,41.820841421566364,False
ME,189.36,250.03,60.66999999999999,32.03950147866497,False
PN,6109.43,5361.59,747.8400000000001,12.240749136989868,True
VE,310.89,94.01,216.88,69.76100871690952,False
TOTAL,23577.99,23486.649999999998,2845.100000000001,12.066762264298188,True
