region,crop,observed_ha,simulated_ha,abs_deviation_ha,pad_pct,within_threshold
1,AG,1.42,0.0,1.42,100.0,False
1,AN,0.9299999999999999,9.04,8.11,872.0430107526882,False
1,BA,8.63,49.97,41.339999999999996,479.02665121668593,False
1,BC,6.83,0.0,6.83,100.0,False
1,CS,775.8,808.43,32.629999999999995,4.205980922918277,True
1,IG,20.33,2.71,17.619999999999997,86.6699458927693,False
1,JA,23.62,8.44,15.180000000000001,64.2675698560542,False
1,MA,40.6,37.48,3.1200000000000045,7.68472906403942,True
1,ME,0.0,0.19,0.19,,
1,PN,604.53,574.68,29.850000000000023,4.937720212396411,True
1,VE,17.67,5.0,12.670000000000002,71.70345217883418,False
1,TOTAL,1500.3600000000001,1495.94,168.96000000000004,11.261297288650725,True
2,AG,1.4100000000000001,0.0,1.4100000000000001,99.99999999999999,False
2,AN,1.73,0.0,1.73,100.0,False
2,BA,1.32,124.0,122.68,9293.939393939394,False
2,BC,18.47,0.0,18.47,100.0,False
2,CS,2151.11,2189.67,38.559999999999945,1.7925629093816655,True
2,IG,36.1,9.81,26.29,72.82548476454294,False
2,JA,52.29,40.09,12.199999999999996,23.33142092178236,False
2,MA,367.53,370.77,3.240000000000009,0.8815606889233557,True
2,ME,10.03,22.39,12.360000000000001,123.23030907278168,False
2,PN,1725.19,1630.46,94.73000000000002,5.490989398269177,True
2,VE,38.54,5.46,33.08,85.83290088220032,False
2,TOTAL,4403.72,4392.650000000001,364.74999999999994,8.282770021708917,True
3,AG,0.62,0.0,0.62,100.0,False
3,BA,159.43,276.96999999999997,117.53999999999996,73.72514583202657,False
3,BC,4.07,0.0,4.07,100.0,False
3,CS,4019.76,4122.9,103.13999999999942,2.5658248253626934,True
3,IG,38.81,15.32,23.490000000000002,60.52563772223653,False
3,JA,219.81,63.87,155.94,70.94308721168282,False
3,MA,176.24,160.82,15.420000000000016,8.749432591920117,True
3,ME,179.33,227.45,48.119999999999976,26.833212513243723,False
3,PN,1298.81,1219.72,79.08999999999992,6.089420315519585,True
3,VE,51.76,16.56,35.2,68.0061823802164,False
3,TOTAL,6148.639999999999,6103.610000000001,582.6299999999993,9.475753987873732,True
4,AG,14.95,3.44,11.51,76.98996655518395,False
4,AN,121.55,138.02,16.470000000000013,13.549979432332385,True
4,BA,102.1,184.45,82.35,80.6562193927522,False
4,BC,27.34,0.83,26.51,96.96415508412582,False
4,CS,3256.9,3303.14,46.23999999999978,1.4197549817310873,True
4,IG,32.25,7.52,24.73,76.68217054263566,False
4,JA,69.72,54.5,15.219999999999999,21.83017785427424,False
4,MA,165.87,181.88,16.00999999999999,9.652137215891958,True
4,PN,634.92,593.46,41.45999999999992,6.529956529956519,True
4,VE,53.61,0.0,53.61,100.0,False
4,TOTAL,4479.21,4467.24,334.10999999999973,7.45912783727487,True
5,AG,37.66,15.39,22.269999999999996,59.13436006372809,False
5,AN,7.75,17.0,9.25,119.35483870967742,False
5,BA,1427.01,1086.87,340.1400000000001,23.83585258687746,False
5,BC,81.31,4.01,77.3,95.06825728692658,False
5,CS,318.72,364.62,45.89999999999998,14.40135542168674,True
5,IG,5.26,7.21,1.9500000000000002,37.07224334600761,False
5,JA,190.46,208.07,17.609999999999985,9.246035913052602,True
5,MA,75.74,476.39,400.65,528.9807235278585,False
5,PN,208.62,156.58,52.03999999999999,24.944875850829256,False
5,VE,48.49,60.34,11.850000000000001,24.438028459476186,False
5,TOTAL,2401.0199999999995,2396.48,978.96,40.77267161456382,False
6,AG,44.27,0.75,43.52,98.30585046306753,False
6,AN,0.04,6.76,6.72,16800.0,False
6,BA,222.31,222.83,0.5200000000000102,0.2339076064954389,True
6,BC,8.28,1.61,6.669999999999999,80.55555555555554,False
6,CS,104.55,112.33,7.780000000000001,7.441415590626495,True
6,IG,4.65,21.31,16.659999999999997,358.279569892473,False
6,JA,51.83,24.91,26.919999999999998,51.93903144896778,False
6,MA,202.25,280.46,78.20999999999998,38.6699629171817,False
6,PN,280.28,324.86,44.58000000000004,15.905523048380205,True
6,VE,94.77,6.65,88.11999999999999,92.98301150153,False
6,TOTAL,1013.2299999999999,1002.47,319.70000000000005,31.55255963601552,False
7,AG,0.51,0.0,0.51,100.0,False
7,AN,0.6699999999999999,0.0,0.6699999999999999,100.00000000000001,False
7,BA,0.0,143.75,143.75,,
7,BC,0.91,0.0,0.91,100.0,False
7,CS,2186.09,2567.28,381.19000000000005,17.437068007264113,True
7,IG,8.02,3.4899999999999998,4.529999999999999,56.48379052369077,False
7,JA,13.74,18.16,4.42,32.1688500727802,False
7,MA,58.74,33.75,24.990000000000002,42.54341164453524,False
7,PN,1357.08,861.83,495.2499999999999,36.49379550210746,False
7,VE,6.05,0.0,6.05,100.0,False
7,TOTAL,3631.8100000000004,3628.2599999999998,1062.2699999999998,29.249052125524177,False
