crop,region,island,surface,production,sales,subsidy,revenue,gross_margin,labor_hours,labor_cost,etp,ges,ift,azote,surface_cld,water_need_m3,soil_carbon_balance
AG,4,1,3.44,63.64,44548.0,0.0,44548.0,17023.493026666663,1693.3973333333333,26247.658666666663,1.0537631196847128,8825.252549019606,20.64,495.36,0.0,41280.0,-4.349482848917998
AG,5,1,15.39,284.715,199300.5,0.0,199300.5,76160.33653499998,7575.9839999999995,117427.75200000001,4.714364654635967,39482.7432352941,92.34,2216.16,0.0,184680.0,-20.7780330572244
AG,6,1,0.75,13.875,9712.5,0.0,9712.5,3711.517374999999,369.2,5722.599999999999,0.2297448662103298,1924.1102941176464,4.5,108.0,0.0,0.0,-0.9475393500000002
AN_NU,1,2,0.07,1.05,840.0000000000001,0.0,840.0000000000001,301.2044,30.660000000000004,475.2300000000001,0.019079029247044185,158.46936274509804,0.5133333333333334,8.99966666666667,0.0,0.0,-0.1064247367134
AN_NU,4,1,3.27,49.05,39240.0,0.0,39240.0,14070.5484,1432.26,22200.03,0.8912632233976353,7402.783088235294,23.98,420.4130000000001,0.0,0.0,-4.971555557897399
AN_PA,1,2,8.97,206.31,165048.0,0.0,165048.0,81596.80099999999,3910.92,60619.26,2.4336776602364654,40120.303676470605,143.52,1925.5600000000002,0.0,0.0,-13.637569833131398
AN_PA,4,1,134.75,3099.25,2479400.0,0.0,2479400.0,1225771.3416666666,58751.0,910640.5,36.559427504667084,602699.099264706,2156.0,28926.333333333336,0.0,0.0,-204.86761817329497
AN_PA,5,1,17.0,391.0,312800.0,0.0,312800.0,154642.76666666666,7412.0,114886.0,4.612321095208463,76036.25000000003,272.0,3649.3333333333335,0.0,0.0,-25.846007487539996
AN_PA,6,1,6.76,155.48,124383.99999999999,0.0,124383.99999999999,61493.24133333333,2947.3599999999997,45684.079999999994,1.834075917859365,30235.591176470596,108.16,1451.1466666666668,0.0,0.0,-10.277588859751198
BA_INT,1,2,4.970000000000001,223.65,120771.0,92730.26000000001,213501.26,51387.73745,7744.0365625,120032.56671875001,4.818939989110143,145244.09310661766,37.275,1930.8450000000007,0.0,60748.8,0.7117710677425616
