crop,gross_margin
AG,96895.34693666662
AN_NU,14371.7528
AN_PA,1523504.1506666664
BA_INT,13072647.503049998
BA_IRR,2371942.2544318177
BA_PER,1859920.4701000003
BA_SINT,985113.9449181813
BC_BT,29583.166875000003
CS_BT_NIM,9772956.359191429
CS_BT_NISM,7488.271061142859
CS_CGT_NIM,2065945.6696040006
CS_CGT_NISM,5656.367058
CS_EGT_NIM,5151986.804998572
CS_EGT_NISM,211371.78139942852
CS_MG_NISM,4151560.1507862876
CS_NGT_NIM,8643974.486381143
CS_NGT_NISM,849235.1843245714
CS_SBT_NIM,838043.3360519998
IG_PLA,357041.53615
IG_TUT,326562.945
JA,48492.64
MA_ROTA,13167279.470113996
MA_TO_CO_JA,26137217.805671
ME,3610684.2301200004
PN_PIQ,10004726.94
VE_BTGT,443492.30034666666
