crop,labor_cost
AG,149398.01066666667
AN_NU,22675.260000000002
AN_PA,1131829.84
BA_INT,30535367.21921875
BA_IRR,4273112.941590909
BA_PER,3462313.28275
BA_SINT,2569676.8704545456
BC_BT,60872.278125000004
CS_BT_NIM,697297.8357142857
CS_BT_NISM,878.9385714285715
CS_CGT_NIM,158614.91000000003
CS_CGT_NISM,703.545
CS_EGT_NIM,404991.63928571437
CS_EGT_NISM,26529.755714285715
CS_MG_NISM,505937.5371428572
CS_NGT_NIM,702492.6385714286
CS_NGT_NISM,110013.15428571429
CS_SBT_NIM,64988.86499999998
IG_PLA,326333.27999999997
IG_TUT,553592.42
JA,38877.72
MA_ROTA,12079512.39
MA_TO_CO_JA,18709453.56
ME,2433792.02
PN_PIQ,10471185.27
VE_BTGT,527878.6846666667
