crop,production_tonnes
AG,362.22999999999996
AN_NU,50.099999999999994
AN_PA,3852.04
BA_INT,56894.85
BA_IRR,8714.54
BA_PER,7113.960000000001
BA_SINT,4670.46
BC_BT,129.0
CS_BT_NIM,261834.2
CS_BT_NISM,264.032
CS_CGT_NIM,50706.18
CS_CGT_NISM,179.928
CS_EGT_NIM,117137.85
CS_EGT_NISM,6138.6720000000005
CS_MG_NISM,117067.96800000001
CS_NGT_NIM,192491.63999999998
CS_NGT_NISM,24115.968
CS_SBT_NIM,23139.675000000003
IG_PLA,563.94
IG_TUT,540.6
JA,0.0
MA_ROTA,14143.8
MA_TO_CO_JA,21401.8
ME,5000.6
PN_PIQ,3538.6494000000002
VE_BTGT,1410.15
