crop,revenue
AG,253560.99999999997
AN_NU,40080.0
AN_PA,3081632.0
BA_INT,54313088.14
BA_IRR,8360319.58
BA_PER,6687122.4
BA_SINT,4504053.24
BC_BT,90300.0
CS_BT_NIM,16986640.311714284
CS_BT_NISM,17317.053531428573
CS_CGT_NIM,3557667.4676
CS_CGT_NISM,12774.52896
CS_EGT_NIM,8753036.299785715
CS_EGT_NISM,464376.99787428573
CS_MG_NISM,8157037.815222859
CS_NGT_NIM,15089317.81217143
CS_NGT_NISM,1913947.8506057141
CS_SBT_NIM,1539435.11175
IG_PLA,845910.0
IG_TUT,1081200.0
JA,83608.0
MA_ROTA,26731782.0
MA_TO_CO_JA,46227888.0
ME,7275873.0
PN_PIQ,22057581.26
VE_BTGT,987105.0
