farm,revenue
E1,35303.48211428571
E10,40124.817828571424
E100,201864.25999999998
E1000,37302.1494
E1001,7009.1554857142855
E1002,67914.68457142857
E1003,20675.271471428572
E1004,32926.842385714284
E1005,29238.626057142857
E1006,285201.0
E1007,41804.5118
E1008,27048.12585714286
E1009,8060.603585714286
E101,48611.66774285714
E1010,40685.8
E1011,47037.600000000006
E1012,3809877.1830142858
E1013,26068.297457142857
E1014,1151.92
E1015,48849.18268571428
E1016,25923.5619
E1017,52846.05485714286
E1018,70708.53488571428
E1019,43320.42
E102,8762.82
E1020,57863.24737142857
E1021,15026.47717142857
E1022,91287.0
E1023,32560.99391428572
E1024,56157.83691428571
E1025,12626.081457142856
E1026,44382.09262857143
E1027,70829.84202857144
E1028,117504.0
E1029,33989.60331428571
E103,17248.672914285715
E1030,4080.6727142857144
E1031,45923.558800000006
E1032,87264.0
E1033,11231.220000000001
E1034,37734.220628571435
E1035,31374.783519999997
E1036,1135531.5414
E1037,30725.065142857144
E1038,29527.145942857147
E1039,36726.05442857143
E104,53196.18385714285
E1040,38453.12845714286
E1041,234024.95205714286
E1042,56512.80068571429
E1043,37445.239342857145
E1044,92448.0
E1045,40444.74857142857
E1046,4704.7756
E1047,50220.29697142857
E1048,53261.70502857143
E1049,109431.0
E105,117984.31791428571
E1050,39733.619999999995
E1051,6433.060514285715
E1052,9750.922342857144
E1053,67331.70337142858
E1054,1017428.6851857143
E1055,105080.73448000001
E1056,13106.160600000001
E1057,377162.49525
E1058,37402.398342857145
E1059,16480.44
E106,32546.908805714287
E1060,65338.771342857144
E1061,16178.667114285714
E1062,15838.9
E1063,6603.529028571429
E1064,16168.02
E1065,36013.51968571429
E1066,10614.119999999999
E1067,53644.211702857145
E1068,39910.62982857143
E1069,12770.1052
E107,22754.4044
E1070,32294.899999999998
E1071,12187.872662857144
E1072,14925.144617142858
E1073,31980.86185714286
E1074,8303.227942857144
E1075,17566.78
E1076,9499.94
E1077,16772.126514285716
E1078,13108.386582857143
E1079,52542.019400000005
E108,28149.659
E1080,10702.788
E1081,12738.952322857143
E1082,29791.086417142855
